English,Russian,French
letter,письмо,lettre
letter,буква,lettre
letter,буква,caractère
plate,тарелка,assiette
plate,тарелка,plat
dinner,обед,déjeuner
dinner,ужин,dîner
necessary,необходимый,nécessaire
no_equality,неизбежный,inévitable
secret,секрет,secret
secret,секретный,secret
secret,тайный,secret
table,стол,table
table,таблица,table
table,таблица,tableau
table,"люди, сидящие за столом в контекстах типа ""наш столик""",tablée
warm,теплый,chaud
warm,теплый,chaleureux
warm,согревать,réchauffer
America,Америка,Amérique
entire,целый,entier
entire,весь,tout
thousand,тысяча,mille
Belgium,Бельгия,Belgique
background,окружение,milieu
background,происхождение,origines
background,задний план,arrière-plan
background,фон,fond
child,ребенок,enfant
childhood,детство,enfance
dependable,надежный,fiable
dependable,надежный,digne de confiance
grandchild,внук,petit-fils
grandchild,внучка,petite-fille
ketchup,кетчуп,ketchup
point,момент,moment
point,точка,point
point,"суть, смысл",intérêt
point,точка,stade
point,"идея, замечание",point
point,"качество, отличительная особенность",point
point,"очко, гол",point
point,"кончик, острие",pointe
point,запятая (в числах),virgule
point,показывать,montrer
point,указывать,indiquer
point,нацеливать,pointer
point,нацеливать,braquer
star,звезда,étoile
star,звезда,vedette
star,звезда,star 
star,звезда (первый ученик),meilleur
star,играть главную роль,être la vedette
star,играть главную роль,tenir le rôle principal
strength,сила,force
strength,прочность,solidité
no_equality,устойчивость,résistance
strength,мощь,puissance
coincide,совпадать,coïncider 
coincidental,совпадающий,fortuit
dance,танцевать,danser
dance,танец,danse
dance,бал,bal
countryside,сельская местность,campagne
break,пауза,pause 
break,перерыв,vacances
break,"поломка, скол",félure
break,ломать,briser
break,ломать,casser
break,игнорировать,désobéir à
break,пренебречь,manquer à
break,прерывать,interrompre
break,разразиться,éclater
mother,мать,mère
mother,дева Мария,Mère
mother,проявлять материнскую заботу,no_equality
start,начинаться,commencer
start,начинатся,débuter
start,начинаться,se mettre à
start,"запускать, открывать",lancer
start,приступать к,démarrer
start,запускать,(se) mettre en marche
start,начало,début
start,начало,commencement
start,начало,départ
start,линия старта,ligne de départ
start,"отправляться, стартовать",partir
tip,совет,conseil
tip,совет,tuyau
tip,чаевые,pourboire
tip,кончик,pointe
tip,кончик,bout
tip,наклоняться,pencher
tip,наклоняться,incliner
tip,давать чаевые,donner un pourboire
tip,наливать,verser
tip,предугадывать,pressentir
apologise,извиняться,excuser
curriculum,расписание,programme 
expertise,"опыт, компетенция",compétences
expertise,экспертиза,expertise
expertise,"опыт, знания",expertise
expertise,опыт,savoir-faire
peremptory,безапеляционный,péremptoire
parent,родитель,parent
member,"член, участник",membre
member,"депутат, член парламента",député
band,музыкальная группа,groupe
band,музыкальная группа,orchestre
band,браслет,brassard
band,повязка,col
band,пояс,ceinture
band,лента,bande
band,банда,bande
band,группа,groupe
band,объединяться,se liguer
hot,горячий,chaud
hot,острый,épicé
hot,привлекательный,recherché
hot,"горячий (напр., о теме, новости)",brûlant
hot,сексуальный,sexy
hot,свежий,frais
fly,летать,voler
fly,летать на самолете,voyager par avion
fly,летать на самолете,voyager en avion
fly,пилотировать,piloter
fly,муха,mouche
fly,ширинка,braguette
fly,проходить ,filer
fly,ринуться,se ruer
school,школа,école
school,факультет,département
school,институт,institut
school,"косяк, стая",banc
school,учиться,apprendre à
cafe,кафе,bistrot
cafe,кафе,café
international,международный,international
international,интернациональный,international
fish,рыба,poisson
fish,ловить рыбу,pêcher
fish,выуживать,fouiller pour trouver
benefit,выгода,avantage
benefit,преимущество,avantage
benefit,пособие,allocation
benefit,бенефис,vente de bienfaisance
benefit,приносить пользу,être utile à
benefit,приносить пользу,faire du bien à
benefit,извлекать пользу,se trouver bien de
benefit,извлекать пользу,tirer profit de
benefit,выгода,bienfaits
intelligent,умный,intelligent
journey,путешествие,trajet 
journey,путешествие,périple
journey,путешествие,voyage 
news,новости,nouvelles
write,писать,écrire
write,писать,rédiger
write,писать,composer
approbation,апробация,approbation
approbation,одобрение,approbation
read,читать,lire
read,вычитывать (узнавать),étudier
read,понимать,comprendre
read,понимать,interpréter
right,правильный,exact
right,правильный,juste
right,правильный,bien
right,правильный,bon
right,правый,droit
guru,гуру,gourou
no_equality,эксперт,gourou
beginner,начинающий,débutant
beginner,новичок,débutant
genetically,генетически,génétiquement
precedent,прецедент,précédent
refugee,беженец,réfugié
secular,светский,laïque
secular,мирской,laïque
secular,светский,profane
secular,мирской,profane
pasta,макароны,pâtes
pasta,паста,pâtes
beaver,бобр,castor
tiger,тигр,tigre
lion,лев,lion 
pen,ручка,stylo 
no_equality,ферма,enclos
no_equality,загон для скота,enclos
coconut,кокос,noix de coco
dynamite,динамит,dynamite
spoon,ложка,cuiller
spoon,ложка,cuillerée
spoon,кормить из ложки,nourrir à la cuillère
ocean,океан,océan
mug,кружка,mug
mug,кружка,grande tasse 
mug,ограбить,agresser
shampoo,шампунь,shampooing
shampoo,мыть с шампунем,faire un shampoing
buzzer,гудок,timbre
buzzer,гудок,sonnerie
buzzer,домофон,interphone
exhaustively,исчерпывающе,exhaustivement
exhaustively,ограничительно,limitativement
apoplexy,апоплексия,apoplexie
apoplexy,инсульт,apoplexie
submissively,смиренно,avec soumission
submissively,покорно,avec soumission
typhus,тиф,typhus
ravioli,равиоли,ravioli
meeting,собрание,réunion
meeting,встреча,réunion
meeting,встреча,rencontre
meeting,встреча,rendez-vous
meeting,свидание,"rendez-vous
"
actually,в действительности,véritablement
actually,на самом деле,en réalité
actually,действительно,vraiment
actually,на самом деле,"en fait
"
actually,по правде говоря,"en fait
"
earring,сережка,boucle d’oreille
add,добавлять,ajouter
add,складывать,additionner
adjective,прилагательное,adjectif
drawing,рисунок,dessin
dream,сон,rêve
dream,мечта,rêve
dream,видеть сны,rêver
dream,мечтать,rêver
dressed,одетый,habillé
driving,вождение,conduite
drum,барабан,tambour 
drum,барабанная перепонка,tympan
drum,бочонок,tonneau
drum,бочка,bidon
drum,бить в барабан,battre du tambour
drum,барабанить,tambouriner
dry,сухой,sec
dry,скучный,aride
dry,безалкогольный,sec
dry,сушить,sécher
dry,вытирать,essuyer
duck,утка,canard
duck,нырять,plonger 
duck,окунаться,plonger 
advanced,продвинутый,avancé
advanced,лучший,supérieur
advanced,повышенной сложности,avancé
during,в течение,pendant
during,в течение,durant
during,во время,pendant
during,во время,durant
during,в течение,au cours de
during,во время,au cours de
earn,зарабатывать,gagner
earn,принести доход,rapporter
earn,заслужить,mériter
earn,заслужить,gagner
singular,форма единственного числа,le singulier
singular,единственный,singulier
easily,легко,aisément
easily,легко,facilement
easily,беспрепятственно,aisément
easily,очень вероятно,bien
east,запад,est
eighth,восьмой,huitième
eighth,восьмая часть,huitième
eighty,восемьдесят,quatre-vingts
adverb,наречие,adverbe
electric,электрический,électrique
electric,наэлектризованный (об атмосфере),électrique
advertisement,реклама,publicité
advertisement,реклама,annonce
advertisement,рекламное объявление,annonce
century,век,siècle
size,размер,taille
size,величина,taille
size,размер,grandeur
size,величина,grandeur
size,размер,pointure
size,величина,grosseur
size,измерять,jauger
no_equality,оценивать,jauger
electricity,электричество,électricité
elephant,слон,éléphant
else,еще,d'autre
empty,пустой,vide
empty,опустошенный,vide
empty,опустошать(ся),(se) vider
engine,двигатель,moteur
engine,локомотив,locomotive
engineer,инженер,ingénieur 
engineer,механик,mécanicien
enough,достаточно,assez
enough,достаточно,suffisamment
enter,входить,entrer
enter,приступить к чему-л.,entrer
enter,ввести (информацию),entrer
enter,записаться,s’inscrire
enter,вступить,s’inscrire
entrance,вход,entrée
entrance,выход (на сцену),entrée
advice,совет,avis
advice,мнение,avis
advice,совет,conseils
aeroplane,самолет,avion
aeroplane,аэроплан,avion
envelope,конверт,enveloppe
especially,особенно,particulièrement
especially,в особенности,en particulier
especially,специально,spécialement
especially,особенно,spécialement
euro,евро,euro
even,даже,encore
even,даже,même
afraid,испуганный,effrayé
afraid,обеспокоенныый,anxieux
afterwards,потом,après
afterwards,после,après
afterwards,потом,par la suite
afterwards,после,par la suite
everyone,каждый,chacun
everyone,все,tout le monde
against,против,contre
against,в отношении,à l’encontre de
against,по сравнению с,par rapport à
everything,все,tout
everywhere,везде,partout
aged,пожилой,âgé
aged,в возрасте,âgé
ago,тому назад,il y a
exactly,точно,exactement
exactly,совершенно,exactement
exactly,абсолютно,exactement
exactly,абсолютно,absolument
exam,экзамен,examen
exam,осмотр,examen
exam,обследование,examen
examination,экзамен,examen
examination,изучение,examen
examination,осмотр,examen
examination,осмотр,inspection
examination,обследование,inspection
excellent,отличный,excellent
excellent,превосходный,excellent
except,кроме,sauf
except,за исключением,sauf
except,кроме,excepté
except,за исключением,excepté
exercise,упражнение,exercice
exercise,тренировка,entraînement 
exercise,учения,entraînement 
exercise,практика,exercice
exercise,практика,entraînement 
exercise,делать зарядку,faire de l’exercice
exercise,тренироваться,faire de l’exercice
exercise,делать зарядку,(s’)entraîner
exercise,тренироваться,(s’)entraîner
exercise,практиковаться,faire de l’exercice
exercise,практиковаться,(s’)entraîner
exercise,осуществлять,exercer
"exit
",выход,sortie
"exit
",съезд,sortie
"exit
",уход,sortie
"exit
",выход,issue
"exit
",уходить,sortir
"exit
",выходить,sortir
explain,объяснять,expliquer
extra,дополнительный,supplémentaire
extra,добавочный,supplémentaire
fact,факт,fait
fact,действительность,réalité
fact,реальность,réalité
fail,провалиться,échouer
fail,провалиться,ne pas réussir
fail,потерпеть неудачу,échouer
fail,потерпеть неудачу,ne pas réussir
fail,пропустить,manquer
fail,пропустить,omettre
fail,провалиться,rater
fail,ослабевать,faiblir
fail,отказывать,lâcher
fail,неудовлетворительная оценка,mauvaise note 
fair,правильный,juste
fair,справедливый,juste
fair,правильный,correct
fair,справедливый,correct
fair,справедливый,équitable
fair,удовлетворительный,passable
fair,приемлемый,passable
fair,светлый,clair
fair,светлый,blond
fair,ярмарка,foire
fall,падать,tomber
fall,понижаться,tomber
fall,понижаться,baisser
fall,спадать,tomber
fall,пасть (в бою),tomber
fall,пасть (в бою),être battu
fall,осень,automne
fall,листопад,chute des feuilles
fall,падение,chute
fall,понижение,"baisse
"
agree,соглашаться,être d’accord
agree,соглашаться,consentir
agree,согласовать,s’accorder
agree,согласовать,se mettre d’accord
agree,соглашаться,accepter
airport,аэропорт,aéroport
fan,фанат,supporter
fan,фанат,fan
fan,вентилятор,ventilateur
fan,веер,éventail
fan,обмахивать,éventer
fantastic,фантастический,fantastique
fantastic,потрясающий,formidable
fantastic,невероятный,fabuleux
fantastic,потрясающий,extraordinaire
fantastic,необыкновенный,extraordinaire
far,далеко,loin
far,намного,beaucoup
far,далекий,lointain
farmer,фермер,fermier
farmer,фермер,agriculteur
fashion,мода,mode
quite,довольно,assez
quite,достаточно,assez
quite,полностью,tout à fait
quite,настоящий,véritable
quite,совершенно,completely
quite,абсолютно,completely
quite,совершенно,entirely
quite,абсолютно,entirely
alarm,будильник,réveil
alarm,тревога,alarme
alarm,беспокойство,inquiétude
alarm,вызывать тревогу,alarmer
alarm,вызывать беспокойство,inquiéter
album,альбом,album 
album,музыкальный альбом,disque
alcohol,алкоголь,alcool
alcohol,спиртное,alcool
synchrophasotron,синхрофазотрон,"synchrophasotron
"
beer,пиво,bière
bedroom,спальня,chambre
bedroom,спальня,chambre à coucher
along,вдоль,"le long de
"
along,по направлению к,vers
fishing,рыбалка,pêche
fishing,рыбная ловля,pêche
fire,огонь,feu
fire,пожар,incendie
finger,палец,doigt
finger,полоса,langue
finally,наконец,finalement
finally,наконец,enfin
finally,в заключение,enfin
finally,в заключение,pour terminer
final,последний,dernier
final,финальный,dernier
final,финальный,final
final,окончательный,final
final,окончательный, définitif
file,пилка,lime
file,папка,fichier
file,каталог,fichier
file,папка,classeur
file,каталог,classeur
file,досье,dossier
fifty,пятьдесят,cinquante
fifty,пятый ,cinquième
fifty,пятая часть,cinquième
field,поле,champ 
field,поле,terrain
field,спортивная площадка,terrain
field,месторождение,gisement
field,область,champ
field,сфера,champ
alone,одинокий,seul
alone,единственный,seul
almost,почти,presque
best,лучший,meilleur
best,лучше всех,le mieux
best,наилучшим образом,le mieux
best,лучше всех,le plus
best,наилучшим образом,le plus
below,под,sous
below,под,au-dessous de
below,под,en dessous de
below,ниже,au-dessous de
below,менее,au-dessous de
below,ниже,plus bas
behind,сзади,derrière
behind,позади,derrière
behind,позже,en retard
before,до,avant
before,раньше,avant
before,до,devant
before,раньше,devant
begin,начинать(ся),commencer
begin,начинать(ся),débuter
flight,полет,vol
flight,побег,fuite
flight,бегство,fuite
fit,подходить,aller à
fit,вмещать,entrer
fit,вписываться,caser
fit,вмещать,entrer
fit,вписываться,caser
fit,соединять,se mettre
fit,фиксировать,se fixer
fit,сочетаться,cadrer avec
fit,соответствовать,correspondre à
fit,сочетаться,cadrer avec
fit,соответствовать,correspondre à
fit,оборудовать,équiper
air,воздух,air
air,транслировать,diffuser
air,проветривать,aérer
hear,слышать,entendre
hear,узнавать,apprendre
hear,слушать,écouter
hear,заслушивать (в суде),juger
collide,сталкиваться,se heurter
collide,наталкиваться,se heurter
collide,сталкиваться,entrer en collision
collide,наталкиваться,entrer en collision
freeze,замораживать,geler
freeze,замораживать,congeler
freeze,мерзнуть,être gelé
freeze,застывать (на месте),se figer
issue,вопрос,question
issue,проблема,problème
issue,выпуск (экземпляр печатного издания),numéro
issue,предоставлять,fournir
issue,обеспечивать,fournir
issue,выпускать,émettre
select,выбирать,sélectionner
select,выбранный,choisi
select,избранный,sélect
order,порядок,ordre