,en,fr,ru
0,before,avant,прежде чем
1,before,avant,ранний
2,before,avant,прежде
3,before,avant,до тот
4,before,avant,ранее
5,before,avant,до наступление
6,before,avant,перед
7,before,avant,пока
8,before,avant,
9,before,auparavant,прежде
10,before,auparavant,ранее
11,before,auparavant,до это
12,before,auparavant,
13,adverb,adverbe,наречие
14,during,lors,в время
15,during,lors,после
16,during,lors,этап
17,during,lors,
18,during,durant,в ход
19,during,durant,на протяжение
20,during,durant,в течение
21,during,durant,в время
22,during,durant,пока
23,during,durant,летом
24,during,durant,этап
25,during,durant,
26,airport,aéroport,аэропорт
27,airport,aéroport,аэродром
28,drum,Tambour,барабан
29,drum,Tambour,барабанный
30,drum,fût,no_equality
31,empty,vide,пустой
32,empty,vide,порожний
33,empty,vide,пустота
34,empty,vider,опустошить
35,empty,vider,освободить
36,empty,vider,очистить
37,empty,vider,опорожнять
38,empty,vider,освобождать
39,cafe,café,кафе
40,flight,vol,полёт
41,flight,vol,рейс
42,flight,vol,самолёт
43,flight,vol,перелёт
44,flight,vol,вылет
45,flight,vol,билет
46,flight,vol,пролёт
47,flight,vol,
48,begin,commencer,начать
49,begin,commencer,начаться
50,begin,commencer,начинать
51,begin,commencer,приступить к
52,begin,commencer,начинаться
53,begin,commencer,стать
54,begin,commencer,начало
55,begin,commencer,
56,fact,fait,факт
57,fact,fait,тот
58,fact,fait,дело
59,fact,fait,
60,dream,rêve,мечта
61,dream,rêve,сон
62,dream,rêve,сказка
63,dream,rêver,мечтать
64,dream,rêver,сниться
65,dream,rêver,помечтать
66,dream,rêver,видеть сон
67,dream,rêver,спать
68,dream,rêver,присниться
69,dream,rêver,грезить
70,dream,rêver,увидеть в сон
71,dream,rêver,видеть в сон
72,dream,rêver,фантазировать
73,dream,rêver,
74,alarm,alarme,сигнализация
75,alarm,alarme,тревога
76,alarm,alarme,будильник
77,alarm,alarme,сигнал тревога
78,alarm,alarme,напоминание
79,alarm,alarme,сирена
80,alarm,alarmer,пугать
81,alarm,alarmer,тревожить
82,alarm,alarmer,встревожить
83,along,ainsi,
84,warm,chaud,тепло
85,warm,chaud,тёплый
86,warm,chaud,горячий
87,warm,réchauffer,согреть
88,warm,réchauffer,согревать
89,warm,réchauffer,погреть
90,warm,réchauffer,подогревать
91,collide,collision,no_equality
92,collide,heurter,сталкиваться
93,excellent,excellent,прекрасный
94,excellent,excellent,отличный
95,excellent,excellent,превосходный
96,excellent,excellent,великолепный
97,excellent,excellent,замечательный
98,excellent,excellent,великолепно
99,excellent,excellent,отлично
100,excellent,super,прекрасный
101,excellent,super,отличный
102,excellent,super,превосходный
103,excellent,super,замечательный
104,excellent,super,великолепно
105,break,briser,сломать
106,break,briser,разбить
107,break,briser,нарушить
108,break,briser,разорвать
109,break,briser,нарушать
110,break,briser,разрушить
111,break,briser,сломить
112,break,briser,ломать
113,break,briser,разбивать
114,break,pause,перерыв
115,break,pause,отдых
116,break,pause,прорыв
117,break,pause,
118,break,rupture,разрыв
119,break,rupture,прорыв
120,break,rupture,нарушение
121,examination,examen,рассмотрение
122,examination,examen,экзамен
123,examination,examen,изучение
124,examination,examen,осмотр
125,examination,examen,обследование
126,examination,examen,анализ
127,examination,examen,освидетельствование
128,examination,examen,проверка
129,examination,examen,
130,tiger,tigre,тигр
131,tiger,tigre,тигрица
132,tiger,tigre,тигрёнок
133,engineer,ingénieur,инженер
134,engineer,ingénieur,инженер-строитель
135,lion,Lion,левый
136,lion,Lion,львов
137,lion,Lion,львица
138,lion,Lion,львиный
139,even,même,даже
140,even,même,вообще
141,even,voire,даже
142,even,voire,вообще
143,field,champ,область
144,field,champ,пол
145,field,champ,поль
146,background,fond,фон
147,background,fond,основа
148,background,fond,задний план
149,background,fond,
150,background,antécédents,
151,easily,facilement,легко
152,easily,facilement,вполне
153,easily,facilement,без труд
154,easily,facilement,быстро
155,easily,facilement,запросто
156,easily,facilement,беспрепятственно
157,easily,facilement,свободно
158,easily,facilement,лёгкость
159,easily,facilement,трудно
160,easily,facilement,беспрепятственный
161,easily,facilement,
162,write,écrire,написать
163,write,écrire,писать
164,write,écrire,записать
165,write,écrire,записывать
166,write,écrire,составить
167,write,écrire,вписать
168,write,écrire,описать
169,write,écrire,написание
170,write,écrire,
171,write,écriture,no_equality
172,ravioli,ravioli,равиоли
173,ravioli,ravioli,пельмень
174,apologise,excuser,извиняться
175,apologise,excuser,извиниться
176,apologise,excuser,принести извинение
177,apologise,excuse,no_equality
178,fire,feu,огонь
179,fire,feu,пожар
180,fire,feu,костёр
181,fire,feu,пламя
182,fire,feu,поджог
183,fire,feu,стрельба
184,fly,voler,летать
185,fly,voler,лететь
186,fly,voler,полететь
187,fly,voler,взлететь
188,fly,mouche,муха
189,beaver,Beaver,бобёр
190,beaver,Beaver,бобр
191,beaver,Beaver,бивер
192,beaver,Beaver,бобрик
193,duck,canard,утка
194,duck,canard,утёнок
195,duck,canard,уточка
196,duck,canard,селезень
197,coincide,coïncider,совпадать
198,coincide,coïncider,совпасть
199,exactly,exactement,именно
200,exactly,exactement,точно
201,exactly,exactement,ровно
202,exactly,exactement,так
203,exactly,exactement,в точность
204,exactly,exactement,как раз
205,exactly,exactement,абсолютно
206,exactly,exactement,вот
207,exactly,exactement,совершенно
208,exactly,exactement,собственно
209,exactly,exactement,конкретно
210,exactly,exactement,же
211,exactly,exactement,точить
212,exactly,exactement,
213,coconut,coco,кокос
214,coconut,coco,кокосовый
215,coconut,cocotier,кокос
216,international,international,международный
217,international,international,мировой
218,international,international,интернешнл
219,international,international,интернациональный
220,international,international,межнациональный
221,best,meilleur,хороший
222,best,meilleur,оптимальный
223,best,Best,хороший
224,parent,parent,родитель
225,parent,parent,отец
226,parent,parent,родительский
227,ocean,océan,океан
228,ocean,océan,мор
229,ocean,océan,морской
230,ocean,océanique,океанский
231,ocean,océanique,океанический
232,ocean,océanique,морской
233,coincidental,coïncidence,случайно
234,coincidental,coïncidence,совпадение
235,coincidental,coïncidence,случайность
236,coincidental,coïncidence,случайный
237,coincidental,fortuit,случайно
238,coincidental,fortuit,случайный
239,coincidental,fortuit,простой совпадение
240,buzzer,buzzer,звонок
241,buzzer,buzzer,зуммер
242,buzzer,buzzer,сирена
243,buzzer,buzzer,баззер
244,century,siècle,век
245,century,siècle,столетие
246,century,siècle,сто год
247,century,siècle,100 год
248,euro,Euro,евро
249,euro,Euro,еврозона
250,dynamite,dynamite,динамит
251,afraid,peur,no_equality
252,afraid,craindre,no_equality
253,member,membre,сотрудник
254,member,membre,участник
255,member,membre,представитель
256,member,membre,состав
257,member,membre,членство
258,member,membre,входить
259,member,membre,член
260,childhood,enfance,детство
261,childhood,enfance,детский
262,childhood,enfance,ребёнок
263,childhood,enfance,детский возраст
264,plate,plaque,пластина
265,plate,plaque,табличка
266,plate,plaque,номер
267,plate,plaque,номерной знак
268,plate,plaque,плита
269,plate,plaque,
270,fish,poisson,рыба
271,fish,poisson,рыбка
272,fish,poisson,рыбина
273,fish,poisson,улов
274,fish,pêche,рыба
275,fish,pêche,рыболовство
276,fish,pêche,рыбалка
277,fish,pêche,улов
278,fish,pêche,рыбный
279,farmer,agriculteur,фермер
280,farmer,agriculteur,земледелец
281,drawing,dessin,рисунок
282,drawing,dessin,рисование
283,drawing,dessin,чертёж
284,drawing,dessin,рисовать
285,drawing,dessin,набросок
286,drawing,dessin,
287,explain,expliquer,объяснить
288,explain,expliquer,объяснять
289,explain,expliquer,разъяснить
290,explain,expliquer,пояснить
291,explain,expliquer,объясняться
292,explain,expliquer,разъяснять
293,explain,expliquer,объясниться
294,explain,expliquer,рассказать
295,explain,expliquer,пояснять
296,explain,expliquer,уточнить
297,explain,expliquer,изложить
298,explain,expliquer,разъяснение
299,explain,expliquer,объяснение
300,explain,expliquer,
301,typhus,typhus,тиф
302,advertisement,publicité,реклама
303,advertisement,publicité,объявление
304,advertisement,publicité,рекламный
305,advertisement,publicité,рекламный объявление
306,issue,question,вопрос
307,issue,question,проблема
308,issue,question,тема
309,issue,question,задача
310,issue,question,аспект
311,issue,question,связь
312,issue,question,пункт
313,issue,question,
314,issue,émettre,выдавать
315,issue,émettre,издавать
316,issue,émettre,издать
317,issue,émettre,выдать
318,issue,émettre,выпускать
319,aged,âgé,старший
320,file,fichier,файл
321,file,fichier,досье
322,file,fichier,папка
323,file,fichier,документ
324,file,fichier,картотека
325,file,déposer,подавать
326,file,déposer,представлять
327,file,déposer,представить
328,pen,stylo,ручка
329,pen,stylo,авторучка
330,pen,stylo,карандаш
331,pen,enclos,ручка
332,pen,enclos,загон
333,fan,ventilateur,вентилятор
334,fan,ventilateur,веер
335,pasta,pâte,паста
336,pasta,Pasta,паста
337,hot,chaud,горячий
338,hot,chaud,жаркий
339,hot,chaud,круто
340,hot,chaud,жаркое
341,hot,chaud,жар
342,engine,moteur,двигатель
343,engine,moteur,мотор
344,engine,moteur,движок
345,engine,moteur,локомотив
346,engine,moteur,механизм
347,engine,moteur,движущий силой
348,engine,moteur,движущий сила
349,advanced,avancé,передовой
350,advanced,avancé,развитый
351,advanced,avancé,продвинуть
352,advanced,avancé,
353,advanced,Advanced,no_equality
354,expertise,expertise,опыт
355,expertise,expertise,экспертиза
356,expertise,expertise,квалификация
357,expertise,expertise,компетенция
358,expertise,expertise,специалист
359,expertise,expertise,эксперт
360,expertise,expertise,экспертный знание
361,expertise,expertise,экспертный потенциал
362,expertise,expertise,знание
363,expertise,expertise,
364,dry,sec,сухой
365,dry,sec,сухо
366,dry,sécher,высохнуть
367,dry,sécher,высушить
368,dry,sécher,вытереть
369,dry,sécher,сохнуть
370,dry,sécher,сушить
371,dry,sécher,сушиться
372,dry,sécher,вытирать
373,dry,sécher,высыхать
374,dry,sécher,
375,dry,séchage,no_equality
376,fantastic,fantastique,фантастический
377,fantastic,fantastique,потрясать
378,fantastic,fantastique,великолепно
379,fantastic,fantastique,фантастика
380,fantastic,fantastique,здорово
381,fantastic,fantastique,чудесно
382,fantastic,fantastique,невероятно
383,fantastic,fantastique,великолепный
384,fantastic,fantastique,
385,eighty,vingts,no_equality
386,eighty,Eighty,no_equality
387,bedroom,coucher,no_equality
388,fit,équiper,
389,fit,cadrer,соответствовать
390,fit,ajustement,no_equality
391,fit,apte,no_equality
392,earn,gagner,зарабатывать
393,earn,gagner,заработать
394,earn,gagner,заслужить
395,earn,gagner,получать
396,earn,gagner,получить
397,earn,gagner,подзаработать
398,earn,gagner,заслуживать
399,especially,surtout,особенно
400,especially,surtout,прежде всего
401,especially,surtout,особо
402,especially,surtout,тем более
403,especially,surtout,в особенность
404,entrance,entrée,вход
405,entrance,entrée,въезд
406,entrance,entrée,выход
407,entrance,entrée,поступление
408,entrance,entrée,появление
409,entrance,entrée,подъезд
410,entrance,entrée,ход
411,entrance,entrée,вступление
412,extra,supplémentaire,дополнительный
413,extra,supplémentaire,лишний
414,extra,supplémentaire,добавочный
415,extra,Extra,дополнительный
416,extra,Extra,экстра
417,extra,Extra,сверху
418,singular,singulier,единственный число
419,singular,singulier,уникальный
420,fall,tomber,упасть
421,fall,tomber,падать
422,fall,tomber,пасть
423,fall,tomber,оказаться
424,fall,tomber,опускаться
425,fall,tomber,выпадать
426,fall,tomber,
427,fall,relever,
428,fall,tombe,no_equality
429,fall,automne,осень
430,news,nouvelles,новость
431,electric,électrique,электрический
432,electric,électrique,электричество
433,electric,électrique,электроснабжение
434,electric,électrique,электроэнергия
435,enter,entrer,войти
436,enter,entrer,входить
437,enter,entrer,въехать
438,enter,entrer,въезжать
439,enter,entrer,вводить
440,enter,entrer,попасть
441,enter,entrer,выйти
442,enter,entrer,
443,enter,entrée,ввод
444,start,commencer,начать
445,start,commencer,начинать
446,start,commencer,начаться
447,start,commencer,начинаться
448,start,commencer,приступить к
449,start,commencer,открыть
450,start,commencer,приступать
451,start,commencer,
452,start,début,начать
453,start,début,начало
454,start,début,старт
455,intelligent,intelligent,умный
456,intelligent,intelligent,разумный
457,intelligent,intelligent,интеллигентный
458,intelligent,intelligent,разумно
459,refugee,réfugié,беженец
460,refugee,réfugiée,беженец
461,enough,assez,достаточно
462,enough,assez,хватить
463,enough,assez,настолько
464,enough,assez,довольно
465,enough,assez,столько
466,enough,assez,так
467,enough,assez,слишком
468,enough,assez,уже
469,enough,assez,достаточный
470,enough,assez,вполне
471,enough,assez,предостаточно
472,behind,derrière,позади
473,behind,derrière,сзади
474,behind,derrière,там
475,behind,derrière,назад
476,behind,derrière,под
477,fair,juste,справедливый
478,fair,juste,справедливо
479,fair,juste,честно
480,fair,juste,
481,fair,équitable,справедливый
482,fair,Fair,справедливый
483,genetically,génétiquement,генетически
484,mug,tasse,кружка
485,mug,tasse,чашка
486,countryside,campagne,сельский местность
487,countryside,campagne,
488,electricity,électricité,электроэнергия
489,electricity,électricité,электричество
490,electricity,électricité,электроснабжение
491,electricity,électricité,электроэнергетика
492,electricity,électricité,энергоснабжение
493,electricity,électricité,электро-
494,electricity,électricité,электроэнергетический
495,electricity,électricité,энергетика
496,electricity,électricité,энергия
497,electricity,électricité,
498,spoon,cuillère,ложка
499,spoon,cuillère,ложечка
500,spoon,cuillère,обнимка
501,spoon,Spoon,ложка
502,spoon,Spoon,спуна
503,journey,voyage,путешествие
504,journey,voyage,путь
505,journey,voyage,поездка
506,journey,voyage,дорога
507,journey,voyage,рейс
508,journey,voyage,полёт
509,journey,voyage,проезд
510,journey,voyage,странствие
511,journey,parcours,путешествие
512,journey,parcours,путь
513,journey,parcours,рейс
514,journey,parcours,маршрут
515,journey,périple,путешествие
516,journey,périple,путь
517,journey,périple,поездка
518,table,table,таблица
519,table,table,стол
520,table,table,столик
521,table,tableau,таблица
522,table,tableau,табличный
523,shampoo,shampooing,шампунь
524,shampoo,shampoings,шампунь
525,shampoo,Shampoo,no_equality
526,finger,doigt,палец
527,finger,doigt,пальчик
528,finger,doigt,рука
529,finger,doigt,мизинец
530,elephant,éléphant,слон
531,elephant,éléphant,слоник
532,add,ajouter,добавить
533,add,ajouter,добавлять
534,add,ajouter,включить
535,add,ajouter,дополнить
536,add,ajouter,внести
537,add,ajouter,сказать
538,add,ajouter,прибавить
539,add,ajouter,добавление
540,add,ajouter,складывать
541,add,ajouter,прибавлять
542,add,ajouter,
543,add,ajout,no_equality
544,advice,conseil,консультация
545,advice,conseil,совет
546,advice,conseil,рекомендация
547,advice,conseil,консультирование
548,point,point,точка
549,point,point,момент
550,point,point,пункт
551,point,point,вопрос
552,point,point,замечание
553,point,point,связь
554,point,point,мысль
555,point,point,очко
556,point,point,балл
557,point,point,
558,point,pointer,указывать
559,point,pointer,направлять
560,curriculum,curriculum,no_equality
561,tip,conseil,совет
562,tip,conseil,
563,tip,bout,кончик
564,tip,bout,наконечник
565,tip,bout,
566,entire,ensemble,no_equality
567,entire,entier,целый
568,entire,entier,полный
569,entire,intégralité,целое
570,entire,intégralité,полный
571,entire,intégralité,весь
572,entire,intégralité,всего
573,against,contre,против
574,hear,entendre,слышать
575,hear,entendre,услышать
576,hear,entendre,послушать
577,hear,entendre,слушать
578,hear,entendre,выслушать
579,hear,entendre,узнать
580,hear,entendre,знать
581,hear,entendre,заслушать
582,hear,entendre,расслышать
583,hear,entendre,заслушивать
584,hear,entendre,слышный
585,hear,entendre,
586,hear,entendu,слышать
587,hear,entendu,услышать
588,hear,entendu,узнать
589,hear,entendu,заслушать
590,hear,entendu,расслышать
591,hear,entendu,говорят
592,hear,entendu,
593,actually,réellement,на самый дело
594,actually,réellement,фактически
595,actually,réellement,действительно
596,actually,réellement,реально
597,actually,réellement,вправду
598,right,droit,право
599,right,droit,правый
600,right,droit,прямо
601,right,droit,сразу
602,else,autre,другой
603,else,autre,остальной
604,else,autre,иной
605,else,ailleurs,no_equality
606,album,album,альбом
607,beer,bière,пиво
608,beer,bière,пивко
609,beer,bière,пивная
610,secret,secret,секрет
611,secret,secret,тайна
612,secret,secret,тайный
613,secret,secret,секретный
614,secret,secret,секретность
615,secret,secret,засекретить
616,guru,gourou,гуру
617,guru,Guru,гуру
618,fashion,mode,мода
619,except,sauf,за исключение
620,except,excepté,за исключение
621,except,excepté,кроме
622,except,excepté,исключая
623,except,excepté,не считать тот
624,star,étoile,звезда
625,star,étoile,звёздочка
626,star,Star,звезда
627,star,vedette,звезда
628,star,Etoiles,no_equality
629,East,Orient,восток
630,East,est,восточный
631,East,est,восток
632,benefit,avantage,польза
633,benefit,avantage,выгода
634,benefit,avantage,преимущество
635,benefit,avantage,льгота
636,benefit,bénéficier,воспользоваться
637,benefit,bénéficier,пользоваться
638,benefit,bénéficier,получать
639,benefit,bénéficier,получить
640,benefit,bénéficier,приносить польза
641,meeting,réunion,совещание
642,meeting,réunion,заседание
643,meeting,réunion,встреча
644,meeting,réunion,сессия
645,meeting,réunion,собрание
646,meeting,réunion,конференция
647,meeting,réunion,мероприятие
648,meeting,réunion,
649,quite,assez,довольно
650,quite,assez,весьма
651,quite,assez,вполне
652,quite,assez,очень
653,quite,assez,слишком
654,strength,force,сила
655,strength,force,мощь
656,strength,force,потенциал
657,strength,force,контингент
658,strength,force,крепость
659,strength,force,
660,ketchup,ketchup,кетчуп
661,afterwards,ensuite,впоследствии
662,afterwards,ensuite,поздний
663,afterwards,ensuite,дальнейший
664,afterwards,ensuite,последующий
665,beginner,débutant,новичок
666,beginner,débutant,начинающий
667,final,final,окончательный
668,final,final,заключительный
669,final,final,последний
670,final,final,конечный
671,final,final,итоговый
672,final,final,финальный
673,final,final,завершать
674,final,final,выпускной
675,final,final,финал
676,final,finale,окончательный
677,final,finale,заключительный
678,final,finale,последний
679,final,finale,конечный
680,final,finale,финал
681,agree,convenir,согласиться
682,agree,convenir,согласовать
683,agree,convenir,соглашаться
684,agree,convenir,договариваться
685,agree,convenir,согласовывать
686,agree,convenir,признать
687,agree,convenir,согласование
688,agree,convenir,
689,agree,accepter,соглашаться
690,agree,accepter,признать
691,agree,accepter,
692,agree,accord,no_equality
693,alone,seul,один
694,alone,seul,одинокий
695,alone,seul,единственный
696,alone,seul,наедине
697,alone,seul,самостоятельно
698,exam,examen,экзамен
699,exam,examen,осмотр
700,exam,examen,обследование
701,exam,examen,тест
702,exercise,exercice,осуществление
703,exercise,exercice,мероприятие
704,exercise,exercice,реализация
705,exercise,exercice,упражнение
706,exercise,exercice,выполнение
707,exercise,exercice,работа
708,exercise,exercice,исполнение
709,exercise,exercice,пример
710,exercise,exercer,осуществлять
711,exercise,exercer,проявлять
712,exercise,exercer,осуществить
713,exercise,exercer,пользоваться
714,exercise,exercer,выполнять
715,exercise,exercer,
716,child,enfant,ребёнок
717,child,enfant,детский
718,child,enfant,девочка
719,child,enfant,дитя
720,child,enfant,дочь
721,child,enfant,мальчик
722,child,enfant,
723,school,école,школа
724,school,école,образование
725,school,école,колледж
726,school,école,учёба
727,school,école,обучение
728,school,école,училище
729,school,école,университет
730,school,école,занятие
731,school,école,курс
732,school,école,
733,school,scolaire,школа
734,school,scolaire,образование
735,school,scolaire,обучение
736,school,scolaire,школьный
737,school,scolaire,учебный
738,school,scolaire,учебный заведение
739,band,bande,банда
740,band,bande,диапазон
741,band,bande,полоса
742,band,bande,лента
743,band,bande,шайка
744,band,bande,полоска
745,band,bande,
746,letter,lettre,письмо
747,letter,lettre,буква
748,letter,lettre,послание
749,letter,lettre,записка
750,letter,lettre,письменный
751,letter,lettre,
752,letter,lettres,письмо
753,letter,lettres,буква
754,driving,conduite,вождение
755,driving,conduite,движение
756,driving,impérieux,no_equality
757,driving,conduire,no_equality
758,fishing,pêche,рыболовство
759,fishing,pêche,рыбалка
760,fishing,pêche,рыбный промысел
761,fishing,pêche,лов
762,fishing,pêche,рыболовный
763,fishing,pêche,рыбный промысл
764,fishing,pêche,промысловый
765,fishing,pêche,рыбопромысловый
766,fishing,pêche,рыбный ловля
767,fishing,pêche,
