,fr,en,ru
0,tomber,fall,упасть
1,tomber,fall,падать
2,tomber,fall,пасть
3,tomber,fall,оказаться
4,tomber,fell,упасть
5,tomber,fell,пасть
6,tomber,fall down,упасть
7,tomber,fall down,падать
8,pénétrer,penetrate,проникнуть
9,pénétrer,penetrate,проникать
10,complet,full,полный
11,complet,full,всеобъемлющий
12,complet,full,всесторонний
13,complet,complete,полный
14,complet,complete,всесторонний
15,complet,comprehensive,полный
16,complet,comprehensive,всеобъемлющий
17,complet,comprehensive,комплексный
18,complet,comprehensive,всесторонний
19,complet,comprehensive,подробный
20,complet,comprehensive,исчерпывающий
21,complet,entire,полный
22,complet,fully,полный
23,complet,fully,всесторонний
24,ultérieurement,later,впоследствии
25,ultérieurement,later,поздний
26,ultérieurement,later,последующий
27,ultérieurement,later,дальнейший
28,ultérieurement,subsequently,впоследствии
29,ultérieurement,subsequently,поздний
30,ultérieurement,subsequently,последующий
31,convenir,agree,согласовать
32,convenir,agree,согласиться
33,convenir,agree,согласование
34,convenir,suitable,no_equality
35,convenir,suit,no_equality
36,convenir,agreed,no_equality
37,réellement,actually,действительно
38,réellement,actually,на самый дело
39,réellement,actually,реально
40,réellement,actually,фактически
41,réellement,really,действительно
42,réellement,really,на самый дело
43,réellement,really,реально
44,réellement,really,поистине
45,devant,front,впереди
46,devant,front,вперёд
47,devant,front,спереди
48,devant,front,прямо
49,devant,front,перед
50,devant,before,перед
51,devant,before,впереди
52,devant,ahead,впереди
53,devant,ahead,вперёд
54,virer,turn,no_equality
55,alcool,alcohol,алкоголь
56,alcool,alcohol,выпивка
57,alcool,alcohol,спиртное
58,alcool,alcohol,спирт
59,alcool,alcohol,алкогольный напиток
60,alcool,alcohol,алкоголизм
61,alcool,alcohol,спиртное напиток
62,histoire,history,история
63,histoire,history,прошлое
64,histoire,history,исторический
65,histoire,story,история
66,histoire,story,рассказ
67,histoire,story,сказка
68,histoire,story,дело
69,histoire,story,статья
70,histoire,story,сюжет
71,histoire,story,версия
72,histoire,story,роман
73,histoire,story,легенда
74,pile,stack,куча
75,pile,stack,стопка
76,pile,battery,батарейка
77,unique,unique,единый
78,unique,unique,уникальный
79,unique,unique,единственный
80,unique,unique,неповторимый
81,unique,single,единый
82,unique,single,единственный
83,unique,single,один
84,exposer,expose,разоблачить
85,exposer,expose,подвергать
86,exposer,exposed,подвергать
87,exposer,showcase,no_equality
88,locomotive,locomotive,локомотив
89,doigt,finger,палец
90,doigt,finger,пальчик
91,doigt,finger,мизинец
92,siècle,century,век
93,siècle,century,столетие
94,siècle,century,сто год
95,siècle,century,100 год
96,bandeau,headband,no_equality
97,auparavant,previously,ранее
98,auparavant,previously,назад
99,auparavant,previously,прежде
100,auparavant,previously,до это
101,auparavant,before,ранее
102,auparavant,before,прежде
103,auparavant,before,до это
104,repas,meal,еда
105,repas,meal,обед
106,repas,meal,ужин
107,repas,meal,питание
108,repas,meal,блюдо
109,repas,meal,пища
110,repas,meal,трапеза
111,repas,meal,приём пища
112,nettement,significantly,значительно
113,nettement,significantly,существенно
114,nettement,significantly,гораздо
115,nettement,significantly,намного
116,nettement,significantly,заметно
117,nettement,significantly,резко
118,nettement,significantly,значительный
119,nettement,considerably,значительно
120,nettement,considerably,существенно
121,nettement,considerably,гораздо
122,nettement,considerably,намного
123,nettement,considerably,заметно
124,nettement,considerably,резко
125,nettement,considerably,значительный
126,faculté,faculty,факультет
127,décoller,take off,взлететь
128,décoller,take off,взлетать
129,zone,area,зона
130,zone,area,район
131,zone,area,область
132,zone,area,территория
133,zone,area,местность
134,zone,area,место
135,zone,area,участок
136,zone,area,площадь
137,zone,area,регион
138,zone,zone,зона
139,zone,zone,район
140,maîtrise,master,магистр
141,sécher,dry,no_equality
142,sécher,dried,no_equality
143,endroit,place,место
144,endroit,place,местечко
145,endroit,place,дом
146,docilement,obediently,no_equality
147,docilement,meekly,no_equality
148,docilement,docilely,no_equality
149,gain,gain,выгода
150,gain,gain,выигрыш
151,gain,earnings,no_equality
152,gain,winning,выигрыш
153,shampooing,shampoo,шампунь
154,correspondre,correspond,соответствовать
155,correspondre,correlate,no_equality
156,particulièrement,particularly,особенно
157,particulièrement,particularly,особо
158,particulièrement,particularly,наиболее
159,particulièrement,particularly,весьма
160,particulièrement,particularly,исключительно
161,particulièrement,particularly,крайне
162,particulièrement,particularly,чрезвычайно
163,particulièrement,particularly,особый
164,particulièrement,particularly,один очередь
165,particulièrement,specifically,особенно
166,particulièrement,specifically,особо
167,particulièrement,specifically,исключительно
168,particulièrement,specifically,специально
169,particulièrement,specifically,частность
170,introduire,introduce,ввести
171,introduire,introduce,включить
172,introduire,introduce,вводить
173,introduire,introduce,внедрить
174,introduire,introduce,внести
175,introduire,introduce,представить
176,introduire,introduce,принять
177,introduire,introduce,предусмотреть
178,introduire,introduce,внедрение
179,introduire,bring,no_equality
180,introduire,insert,ввести
181,introduire,insert,включить
182,introduire,insert,включать
183,gelée,jelly,желе
184,publicitaire,advertising,рекламный
185,lancer,launch,начать
186,lancer,launch,запустить
187,lancer,launch,провести
188,lancer,launch,запуск
189,lancer,launch,начинать
190,lancer,launch,организовать
191,lancer,start,начать
192,lancer,start,запустить
193,lancer,start,начало
194,lancer,start,запуск
195,lancer,start,начинать
196,OK,OK,так
197,OK,OK,давать
198,origine,origin,происхождение
199,origine,origin,источник
200,origine,origin,родные
201,origine,origin,откуда
202,origine,origin,проживание
203,vol,flight,рейс
204,vol,flight,полёт
205,vol,flight,самолёт
206,vol,flight,перелёт
207,vol,flight,билет
208,vol,flight,вылет
209,vol,theft,кража
210,vol,theft,ограбление
211,vol,theft,воровство
212,vol,theft,хищение
213,vol,theft,угон
214,tout,all,всего
215,tout,all,так
216,tout,all,только
217,tout,all,весь
218,tout,everything,весь
219,tout,everything,ничто
220,tout,all of,всего
221,tout,any,люба
222,tout,any,никакой
223,partout,everywhere,повсюду
224,partout,everywhere,везде
225,partout,everywhere,повсеместно
226,partout,everywhere,всюду
227,partout,everywhere,где угодный
228,partout,everywhere,куда угодный
229,partout,everywhere,отовсюду
230,partout,everywhere,вокруг
231,partout,throughout,повсеместно
232,partout,throughout,по весь
233,dîner,dinner,ужин
234,dîner,dinner,обед
235,dîner,dinner,ресторан
236,dîner,dine,поужинать
237,dîner,dine,ужинать
238,dîner,dine,пообедать
239,dîner,dine,обедать
240,entrevue,interview,интервью
241,entrevue,interview,собеседование
242,nouveau,new,новый
243,nouveau,new,новенький
244,nouveau,new,ново
245,nouveau,new,новичок
246,nouveau,new,новость
247,nouveau,fresh,новый
248,lev,Lev,левый
249,avion,aircraft,самолёт
250,bière,beer,пиво
251,bière,beer,пивко
252,bière,beer,пивная
253,boire,drink,выпить
254,boire,drink,пить
255,boire,drink,попить
256,boire,drink,напиться
257,boire,drink,выпивать
258,boire,drink,выпивка
259,boire,drink,пила
260,boire,drink,напиток
261,boire,drunk,пила
262,magnifique,beautiful,прекрасный
263,magnifique,beautiful,красивый
264,magnifique,beautiful,великолепный
265,magnifique,beautiful,замечательный
266,magnifique,beautiful,чудесный
267,magnifique,beautiful,великолепно
268,magnifique,beautiful,красавица
269,magnifique,beautiful,чудесно
270,magnifique,beautiful,красота
271,magnifique,spectacular,потрясать
272,lycée,high school,лицей
273,lycée,high school,старший класс
274,tigre,tiger,тигр
275,tigre,Tigris,тигр
276,tigré,tabby,no_equality
277,génétiquement,genetically,генетически
278,mer,sea,мор
279,mer,sea,океан
280,Oriental,Eastern,восточный
281,Oriental,oriental,восточный
282,juste,just,просто
283,juste,just,только
284,juste,just,прямо
285,juste,just,сразу
286,juste,just,так
287,juste,just,справедливый
288,juste,just,всего лишь
289,juste,just,как раз
290,juste,just,хотеть
291,juste,just,точно
292,juste,right,прямо
293,juste,right,сразу
294,juste,right,так
295,juste,right,вот
296,juste,right,правильный
297,juste,right,правильно
298,juste,right,точно
299,juste,fair,справедливо
300,juste,fair,справедливый
301,juste,fair,честно
302,fourchette,fork,вилка
303,arrêté,stopped,перестать
304,arrêté,stopped,остановиться
305,arrêté,stopped,остановить
306,décrire,describe,описать
307,décrire,describe,описывать
308,décrire,describe,охарактеризовать
309,décrire,describe,рассказать о
310,décrire,describe,изложить
311,décrire,describe,описание
312,décrire,described,описать
313,décrire,described,охарактеризовать
314,décrire,described,изложить
315,décrire,described,описание
316,gisement,deposit,месторождение
317,intensité,intensity,интенсивность
318,millénaire,Millennium,тысячелетие
319,millénaire,Millennium,рубеж тысячелетие
320,millénaire,Millennium,црдт
321,excellent,excellent,прекрасный
322,excellent,excellent,отличный
323,excellent,excellent,превосходный
324,excellent,excellent,великолепный
325,excellent,excellent,замечательный
326,excellent,excellent,великолепно
327,excellent,excellent,отлично
328,excellent,fine,прекрасный
329,excellent,fine,отличный
330,excellent,fine,хороший
331,stylo,pen,ручка
332,nature,nature,характер
333,nature,nature,природа
334,nature,nature,натура
335,nature,nature,быть
336,nature,nature,сущность
337,nature,nature,род
338,nature,nature,свой характер
339,terrain,field,пол
340,terrain,field,место
341,terrain,field,поль
342,terrain,field,область
343,lieu,place,место
344,lieu,occur,no_equality
345,incliner,tilt,no_equality
346,incliner,incline,no_equality
347,incliner,slant,no_equality
348,incliner,lean,no_equality
349,ruban,ribbon,лента
350,ruban,ribbon,ленточка
351,trop,too,слишком
352,trop,too,очень
353,trop,too,так
354,trop,too,чересчур
355,trop,too,чрезмерно
356,trop,too much,чересчур
357,trop,too much,слишком много
358,trop,too much,столько
359,trop,too many,столько
360,trop,excessive,no_equality
361,cache,cache,кэш
362,cache,cache,тайник
363,cache,hide,скрывать
364,cache,hide,прятаться
365,cache,hide,скрываться
366,cache,hide,прятать
367,cache,hide,скрыть
368,break,wagon,no_equality
369,break,station wagon,no_equality
370,chaleur,heat,тепло
371,chaleur,heat,жара
372,chaleur,heat,жар
373,chaleur,heat,теплота
374,historique,historic,исторический
375,historique,history,история
376,historique,history,предыстория
377,entrer,enter,войти
378,entrer,enter,входить
379,entrer,enter,попасть
380,entrer,enter,въехать
381,entrer,enter,въезжать
382,entrer,enter,выйти
383,entrer,come,зайти
384,entrer,come,заходить
385,entrer,come,поступить
386,entrer,come,пойти
387,entrer,come,идти
388,entrer,walk,зайти
389,entrer,walk,пройти
390,entrer,walk,пойти
391,entrer,walk,выйти
392,entrer,walk,идти
393,gourou,guru,гуру
394,adverbe,adverb,no_equality
395,démarrage,boot,no_equality
396,démarrage,start,начало
397,démarrage,start,запуск
398,démarrage,start,начать
399,sortie,output,выход
400,sortie,output,вывод
401,entretien,maintenance,содержание
402,entretien,maintenance,эксплуатация
403,entretien,maintenance,технический обслуживание
404,entretien,maintenance,поддержание
405,entretien,maintenance,ремонт
406,entretien,maintenance,уход
407,entretien,maintenance,техобслуживание
408,entretien,interview,собеседование
409,entretien,interview,интервью
410,entretien,interview,беседа
411,ouvrir,open,открыть
412,ouvrir,open,открывать
413,ouvrir,open,начать
414,ouvrir,open,открыться
415,ouvrir,open,вскрыть
416,ouvrir,open,открываться
417,ouvrir,open,вскрывать
418,ouvrir,opening,no_equality
419,piloter,pilot,управлять
420,piloter,pilot,пилотировать
421,piloter,driving,no_equality
422,paysan,peasant,крестьянин
423,paysan,farming,фермер
424,Lion,lion,левый
425,connaître,know,знать
426,connaître,know,узнать
427,connaître,know,узнавать
428,connaître,know,понять
429,connaître,know,познать
430,connaître,experience,no_equality
431,chemin,path,путь
432,chemin,path,дорога
433,chemin,path,троп
434,chemin,path,направление
435,chemin,path,способ
436,chemin,path,маршрут
437,chemin,path,путём
438,chemin,path,дорогой
439,gonflable,inflatable,надувной
440,sélectionner,select,выбрать
441,sélectionner,select,выделить
442,sélectionner,select,выбирать
443,sélectionner,select,отбирать
444,sélectionner,highlight,выделить
445,davantage,more,большой
446,davantage,more,более
447,davantage,more,скорее
448,davantage,more,чаща
449,heure,hour,час
450,heure,hour,время
451,heure,hour,часы
452,heure,hour,часок
453,heure,time,час
454,heure,time,время
455,heure,time,пора
456,heure,time,момент
457,habillé,clad,no_equality
458,courant,current,течение
459,courant,current,ток
460,courant,current,поток
461,courant,current,текущий
462,courant,common,no_equality
463,Belgique,Belgium,бельгия
464,enfreindre,violate,нарушать
465,enfreindre,violate,нарушить
466,enfreindre,breach,нарушать
467,enfreindre,breach,нарушить
468,dessin,design,no_equality
469,dessin,draw,no_equality
470,ravioli,ravioli,no_equality
471,sûr,course,no_equality
472,sûr,safe,безопасный
473,sûr,safe,надёжный
474,sûr,safe,безопасно
475,sûr,sure,уверенный
476,sûr,sure,точно
477,sûr,sure,наверняка
478,sûr,sure,знать
479,sûr,naturally,no_equality
480,près,near,почти
481,près,near,близко
482,près,near,вблизи
483,près,near,близ
484,près,near,около
485,près,near,возле
486,près,close,близко
487,près,close,вблизи
488,près,nearly,почти
489,près,nearly,примерно
490,près,nearly,близко
491,près,nearly,приблизительно
492,près,about,почти
493,près,about,примерно
494,près,about,приблизительно
495,près,about,при
496,près,around,примерно
497,près,around,вблизи
498,près,around,приблизительно
499,près,closely,близко
500,près,nearby,вблизи
501,près,close to,вблизи
502,prendre,take,принять
503,prendre,take,взять
504,prendre,take,принимать
505,prendre,take,забрать
506,prendre,take,предпринять
507,prendre,take,занять
508,prendre,take,брать
509,prendre,take,предпринимать
510,prendre,take,пойти
511,prendre,take,занимать
512,prendre,take,нести
513,prendre,take,украсть
514,prendre,taking,no_equality
515,assez,enough,достаточно
516,assez,enough,довольно
517,assez,enough,хватить
518,assez,enough,настолько
519,assez,enough,слишком
520,assez,enough,так
521,assez,enough,достаточный
522,assez,enough,столько
523,assez,enough,вполне
524,assez,enough,уже
525,assez,enough,предостаточно
526,assez,quite,довольно
527,assez,quite,очень
528,assez,quite,весьма
529,assez,quite,слишком
530,assez,quite,вполне
531,assez,pretty,достаточно
532,assez,pretty,довольно
533,assez,pretty,очень
534,assez,pretty,весьма
535,assez,pretty,слишком
536,assez,pretty,вполне
