,word,oxford_sensewords,compared_sensewords,comparison_value
0,word,"['mot', 'bruit [masculine] qui court', 'parole', 'formuler', 'nouvelles']","['mot', 'nouvelle', 'mot', 'dire', 'formuler', 'textuel', 'verbal']",0.6
1,the,"['les', 'la (before a consonant) / l’…', 'le (before a consonant) / l’ (before a vowel)', 'la (before a consonant) / l’ (before a vowel)']","['ce', 'le', 'le', 'tant']",0.5
2,and,"['(et)', '(indique une intention ou un but)', 'plus', 'et', '(et même)', 'de']","['et', 'et aussi', 'et en outre', 'donc et', 'avec']",0.3333333333333333
3,that,"['que (before a consonant) / qu’ (before a vowel)', 'cette', 'cette … (là)', 'comme…', 'celui/celle-là', 'qui', 'ce (before a consonant) / cet (before a vowel)', 'ce (before a consonant) / c’ (before a vowel)', 'cela / ça', 'si', 'tellement', 'ce (before a consonant) / cet (before a vowel) … (là)', 'que']","['que', 'comme', 'afin que', 'qui', 'ce', 'propre', 'donc', 'tel']",0.5384615384615385
4,for,"['en', 'en faveur de', 'malgré', 'pour', 'en raison de', 'pendant', 'en direction de', 'car']","['pour', 'pour', 'au cours de', ""à l'égard de"", 'à des fins', 'car', 'pour']",0.3125
5,with,"['(avec)', 'contre', 'pour', 'en + verbe au participe présent', 'à', '(contre)', 'avec', 'à/au…', 'de']","['avec', 'et en outre', 'en compagnie de']",0.2222222222222222
6,but,"['mais', 'excepté', 'sauf']","['mais', 'et', 'cependant', 'seulement', 'sauf']",0.8333333333333333
7,you,"['tu/toi/te', 'espèce de', 'on', 'tu/vous', 'vous']","['vous', 'tu']",0.3
8,this,"['cette', 'ce (before a consonant) / cet (before a vowel) / cette', 'à venir', 'ce (before a consonant) / cet (before a vowel)', 'qui vient', 'ce (before a consonant…', 'cette … ci', 'ce (before a consonant) / cet (before a vowel) … (ci)']","['ce', 'ce', 'actuel', 'ce', 'donc']",0.5
9,not,"['ne…pas', 'pas', 'non', 'ne … pas', 'n’est-ce pas']","['pas', 'pas']",0.4
10,have,"['manger', 'recevoir', 'faire', 'avoir', 'être', 'prendre (du café', 'permettre', 'faire venir', 'boire', 'faire faire (qqch)', 'du thé)']","['avoir', 'posséder', 'recevoir', 'éprouver', 'tenir', 'tomber', 'avoir', 'porter', 'manifester', 'essuyer', 'nourrir', 'déjà', 'verbe auxiliaire']",0.5454545454545454
11,letter,['lettre'],"['lettre', 'lettre', 'diplôme', 'caractères', 'littéral', 'écrit', 'letters', 'écrire une lettre']",3.0
12,plate,"['assiette', 'plaque [feminine] d’immatriculation', 'dentier', 'argenterie', 'plaque', 'planche', 'plaque [feminine] minéralogique']","['plaque', 'cuisinière', 'assiette', 'feuille', ""plaque d'immatriculation"", 'planchette', 'panneau', 'couvre-joint', 'plate-forme', 'chape', 'badge', 'tôle forte', 'en feuilles', 'lamelleux']",1.0714285714285714
13,treat,"['gâterie', 'plaisir', 'soigner', 'faire plaisir', 'aborder', 'traiter', 'gâter', 'offrir', 'traiter de', 'cadeau']","['considérer', 'se tourner', 'traiter', 'traiter', 'traiter', 'régaler', 'choyer', 'traiter de haut', 'régalade', 'plaisir', 'traitement']",0.5
14,dinner,"['de soirée', 'banquet', 'dîner']","['dîner', 'dîner de gala', 'de repas', 'prié']",0.5
15,necessary,"['inévitable', 'nécessaire']","['nécessaire', 'inévitable', 'nécessaire', 'requis', 'il le faut', 'besoin']",1.25
16,go,"['cesser', 'partir', 's’en aller', 'mener', 'tenir', 'devenir', 'aller aux toilettes', 'mourir', 'aller…', 'faire', 'lâcher', 'diminuer', 'dire', 'tour', 'passer', 'essai', 'être envoyé/-ée', 'se passer', 'se ranger', 'fréquenter', 'faire une activité', 'aller']","['aller', 'passer par', 'aller', 'aller', 'passer', 'survenir']",0.1590909090909091
17,secret,"['secret', 'secret/-ète']","['secret', 'secret', 'secret', 'secret', 'tacite', 'sournois', 'clandestin', 'secret', 'masqué', 'fermé', 'secrète', 'secrètement', 'dans le secret']",2.25
18,table,"['tablée', 'table', 'tableau']","['tableau', 'bureau', 'table', 'horaire', 'livret scolaire', 'salle à manger', 'panonceau', 'de table', 'tabulaire', 'de table', 'sur la table']",1.3333333333333333
19,create,"['créer', 'nommer', 'produire', 'être promu']","['créer', 'engendrer', 'provoquer', 'fabriquer', 'développer', 'former']",0.75
20,warm,"['qui donne chaud', 'chaleureux', '(se) réchauffer', 'réchauffer', 'chaleureux/-euse', 'se sentir attiré (par)', 'cordial/-ale', 'chaud', '(se) (ré)chauffer', '(assez) chaud', 'chaud/chaude']","['chaud', 'cardiaque', 'réchauffer', 'se réchauffer', 'isoler', 'il fait chaud', 'échauffement']",0.40909090909090906
21,America,[],['amérique'],0.5
22,nobody,"['moins que rien', 'personne']","['quiconque', 'un certain', 'dont', 'insignifiance']",1.0
23,entire,"['tout/toute', 'entier/-ière', 'entier']","['entier', 'holistique', 'tous', 'entièrement']",0.8333333333333333
24,thousand,"['mille', 'à/de mille (…)']","['mille', 'millénaire', 'multitude', 'mille dollars', 'millier', 'millième']",1.5
25,Belgium,[],['belgique'],0.5
26,anything,"['tout', 'n’importe quoi', 'quelque chose; rien', 'tout ce que', 'quelque chose']","[""n'importe quoi"", 'rien', ""c'est tout""]",0.30000000000000004
27,background,"['fond [masculine] (sonore)', 'origines', 'milieu', 'fond', 'contexte', 'arrière-plan']","['toile de fond', 'condition préalable', 'origine', 'préparation', 'histoire', 'information', 'le mode arrière-plan', 'expérience', 'informations de référence', ""l'histoire de la question"", 'passé', 'éducation', 'racine', 'informations de base', 'contexte', 'généralités', 'origine', ""l'image de fond"", 'parasite', 'parasite', 'de référence', 'secondaire']",1.5833333333333333
28,child,['enfant'],"['enfant', 'enfant', 'progéniture', 'fils', 'descendant', 'enfant', 'infantile', 'filial', 'mineur']",3.5
29,childhood,['enfance'],"['enfance', 'infantile']",1.0
30,dependable,"['fiable', 'digne de confiance']","['fiable', 'dépendant', 'crédible', 'dépendant']",0.75
31,everything,['tout'],"[""c'est tout"", ""n'importe quoi""]",1.0
32,grandchild,"['petit-fils', 'petits-enfants', 'petit-fils / petite-fille', 'petite-fille']",['petit-fils'],0.25
33,ketchup,['ketchup'],['ketchup'],0.5
34,point,"['pointer', 'raison', 'ce que qqn veut dire', 'propos', 'qualités', 'moment', 'point', 'virgule', 'braquer', 'prise…', 'pointe', 'montrer/indiquer du doigt', 'intérêt', 'indiquer', 'sens', 'moment précis', 'défauts', 'stade']","['point', 'lunette', 'espace', 'question', 'point', 'sens', 'phase', 'point de vue', 'indiquer', 'affaire', 'célébrer', 'montrer', 'souligner', 'induire', 'ponctuel']",0.41666666666666663
35,strength,"['volonté', 'qualité', 'solidité', 'effectif(s)', 'puissance', 'intensité', 'résistance', 'force']","['force', 'résistance', 'tension', 'forteresse', 'effectif', 'dignité', 'puissance', 'fort', 'effort', 'puissance', 'robuste']",0.625
36,star,"['star', 'avoir pour vedette', '(de) star', 'meilleur/-eure', 'vedette', 'être la vedette', 'être la vedette de', 'tenir le rôle principal', 'étoile']","['étoile', 'lumière', 'star', 'vieux', 'rôles principaux', 'diva', 'stellaire', ""s'enlever"", 'jouer les rôles principaux']",0.5555555555555556
37,thing,"['créature', 'truc', 'chose', 'personne', 'objet', 'partie']","['chose', 'affaire', 'objet', 'événement', 'créature', 'truc', 'acte', 'tâche', 'que']",0.75
38,coincide,"['coïncider', 'coïncider (avec)']","['coïncider', 'se confondre']",0.75
39,coincidental,"['fortuit/-uite', 'de coincidence', 'fortuit']","['aléatoire', 'coïncident', 'coïncidence']",0.5
40,dance,"['de danse', 'bal', 'danser', '(faire) sauter', 'danse', 'soirée [feminine] dansante']","['danse', 'bal', 'musique dansante', 'soirée dansante', 'la danse', 'danse', 'chorégraphie', 'danser', 'se trémousser', 'chorégraphique', 'de danse']",0.75
41,countryside,['campagne'],"['campagne', 'nature', 'banlieue', 'zones rurales', 'campagne', 'paysage rural', 'rural']",3.0
42,break,"['félure', '(inter)rompre', 'briser', 'cesser', 'désobéir à', 'rompre…', 'chance', 'tomber en panne', 'manquer à', 'être annoncé/-ée', '(se) casser', 'être révélé/-ée', 'casser', 'vacances', 'faire une pause', 'pause', 's’arrêter', 'enfreindre', 'interrompre', 'battre', 'éclater']","['casser', 'violer', 'briser', 'rompre', 'percer', 'détruire', 'échapper', 'se briser', 'éclater', 'perforer', 'surmonter', 'se détacher', 'arracher', 'réfracter', 'pause', 'écart', 'brèche', 'vacance', 'répit']",0.5238095238095237
43,mother,"['mère', 'materner', 's’occuper de', 'Mère']","['mère', 'mémère', 'maternel', 'natal', 'de maman']",0.5
44,start,"['ligne [feminine] de départ', 'partir', '(se) mettre en marche', 'commencer', 'début', 'choc', 'sursauter', 'départ', 'lancer', 'démarrer', 'se mettre à', 'commencement', 'avance', '(faire) démarrer', 'sursaut', 'commencer (à)', 'débuter']","['commencer', 'démarrer', 'tressaillir', 'introduire', ""s'occuper de"", 'entreprendre', 'début', 'lancement', 'initial']",0.35294117647058826
45,tip,"['décharge', 'incliner', 'donner un pourboire à', 'déverser', 'pressentir', 'pointe', 'pourboire', 'pencher', 'verser', 'donner un pourboire', 'conseil', '(faire) pencher', 'tuyau', 'dépotoir', 'bout', 'garnir le bout de']","['pointe', 'pourboire', 'fin mince', 'groupe dirigeant', 'bulle', 'conseil', 'extrémité', 'avis', 'conseils utiles', 'sonde', 'sop', 'vertex', 'incliner', 'chavirer', 'donner un pourboire', 'sur le thé']",0.5
46,apologise,[],"[""s'excuser devant""]",0.5
47,come,"['exister', 'approcher', 'aboutir', 'en venir à', 'allons!', 'venir', 'se faire que', 'se monter à', 'arriver']","['venir', 'venir', 'entrer', 'faire son apparition', 'livrant', 'faire', 'émaner', 'tomber', 'vas-y']",0.5
48,curriculum,"['programme (des études)', 'programme [masculine] scolaire']","['curriculum', 'cursus', 'programme', 'curriculum', 'horaire', ""contenu de l'éducation""]",1.5
49,expertise,"['savoir-faire', 'compétence', 'compétences', 'expertise']","['examen', 'compétence', 'habileté', 'qualification', 'expérience', 'expertise', 'expert', 'professionnalisme', ""capacités d'experts"", 'expertise', 'expérience commerciale', ""d'expertise""]",1.25
50,freeze,"['se figer', 'geler (des crédits', 'bloquer', 'figer sur place', 'des devises)', 'planter', 'geler', '(faire) geler', 'gel', 'congeler', 'gelée', '(mourir de froid)', 'blocage', 'être gelé/-ée', 'rester figé']","['geler', 'geler', 'se figer', 'geler', 'accrocher', 'se geler', 'geler', 'geler', 'congélation', 'blocage', 'gel']",0.36666666666666664
51,issue,"['distribution', 'sortir (de)', 'numéro', 'émettre', 'emission', 'fournir', 'problème', 'distribuer', 'question']","['question', 'édition', 'délivrance', 'chambre', 'écoulement', 'émission', 'délivrer', 'produire', 'publier', 'décorer', 'émissif']",0.6111111111111112
52,peremptory,[],"['impératif', 'péremptoire']",1.0
53,parent,"['parent', 'père (ou) mère']","['parent', 'ancêtre', 'père', 'élément parent', 'mère', 'parental', 'initial', 'supérieur', ""l'un des parents""]",1.25
54,member,"['membre', 'député', 'ée']","['membre', 'représentant', 'élément', 'député', ""membre de l'organisation"", 'de membre']",0.6666666666666666
55,band,"['col', 'bande', 'ceinture', 'se regrouper', 'groupe', 'orchestre', 'se liguer (contre)', 'brassard']","['gang', 'ruban', 'orchestre', 'détachement', 'lien', 'pansement', 'gamme', 'zone', 'groupe musical', 'rubané', 'gamme', 'ленточнопильный', 'band']",0.75
56,order,"['mandat', 'commander', 'organiser', 'classer', 'ordre', 'ordonner', 'commande']","['ordre', 'ordre', 'commande', 'ordre', 'séquence', 'système', 'ordre', 'commander', 'ordonner', 'ordonner']",0.42857142857142855
57,hot,"['de feu', 'épicé', 'bouillant', 'recherché/-ée', 'frais', 'chaud', 'brûlant/-ante', 'chaud/chaude', 'épicé/-ée', 'sexy']","['chaud', 'pointu', 'populaire', 'brûlant', 'chaud', 'il fait chaud', ""c'est chaud"", 'échauffé', 'brûlant', 'chauffer']",0.35
58,fly,"['piloter', 'emmener en avion', 'piloter (un avion)', 'braguette', 'voyager par/en avion', 'filer', 'passer vite', 'arborer', 'voler', 's’enfuir (de)', 'flotter', 'mouche', 'mouche (artificielle)', 'se ruer']","['voler', ""s'envoler"", 'entrer', 'voler', ""s'envoler"", 'слетаться', 'mouche', 'vol']",0.17857142857142855
59,lie,"['être allongé/-ée / s’allonger', 'se trouver', 'venir (de)', 'mentir', '(se) trouver', 'résider', 'rester', 'mensonge', 'résider (dans)', '(s’)allonger']","['coucher', 'se trouver', 'mentir', 'se trouver', 'passe', 'se reposer', 'mensonge', 'liev']",0.35
60,select,"['sélect', 'sélectionner', 'privilégié/-ée', 'choisi', 'choisir']","['choisir', 'élire', 'allouer', 'indiquer', 'choisi', 'sélection']",0.7
61,school,"['banc', 'bande', 'apprendre à', 'institut', 'cours', 'faculté', 'école', 'établissement [masculine] d’enseignement supérieur', 'département']","['école', 'collège', ""c'est super"", ""établissement d'enseignement"", 'faculté', 'études', ""cours à l'école"", 'scolaire']",0.4444444444444444
62,cafe,"['café', 'bistrot']","['café', 'buffet', 'café-restaurant']",0.5
63,buy,"['croire', 'acheter', 'gober']","['acheter', 'vendre', 'acheter', 'soudoyer', 'achat']",0.6666666666666666
64,tell,"['parler', 'savoir', 'raconter', 'demander (de)', 'se faire sentir', 'reconnaître', 'répéter', 'dire', 'indiquer', 'ordonner', 'se reconnaître', 'peser', 'distinguer']","['raconter', 'dire', 'signaler', 'indiquer', 'assurer', 'faire', 'souffler', 'raconter', 'expliquer', 'transmettre', 'demander', 'partager', 'distinguer', 'se dire']",0.46153846153846156
65,international,"['international/-ale', 'international']","['international', ""l'internationale""]",0.5
66,stand,"['être candidat (à)', 'être', 'en être', 'supporter…', 'supporter', 'étal', 'mesurer', 'mettre', 'se mettre debout', 'se trouver', 'combat', 'se lever', 'résister à', 'rester', 'position', 'maintenir', 'poser (droit/debout)', 'se mettre', 'stand', 'être debout', 'sellette', 's’élever', 'se tenir debout']","['être', 'résister', 'résister', 'défendre', 'prendre la parole', 'arrêter', 'comparaître', 'rester', 'se figer', 'stand', 'socle', 'position', 'tribune']",0.32608695652173914
67,fish,"['poisson', 'fouiller pour trouver', 'fouiller', 'chercher', 'pêcher']","['poisson', 'fish', 'de poisson', 'pêcher', 'pêche', 'soutirer']",0.4
68,benefit,"['vente [feminine', 'allocation', 'prime', 'avantage', 'masculine]/concert etc']","['avantage', 'avantage', 'privilège', 'allocation', 'bienfait', 'bénéfice', 'effet', 'gain', 'fruit', 'servir', 'apporter des avantages', 'gagner', 'avantageux']",1.0
69,intelligent,"['intelligent/-ente', 'intelligent']","['intelligent', 'raisonnable', 'plein de sens', 'réfléchi', 'sot', 'microprocesseur', 'compréhensif', 'pensant', 'programmable', 'personnalisable', 'compréhensif']",2.75
70,follow,"['suivre', 'suivvre', 'comprendre']","['suivre', 'surveiller', 'respecter', 'accompagner', 'aller', 'exécuter', 'découler', 'suivant à suivre', 'répéter', 'ultérieur']",1.5
71,journey,"['voyage', 'voyager', 'périple', 'trajet']","['voyage', 'chemin', 'vol', 'passage', 'déménagement', 'pèlerinage', 'voyager']",0.875
72,news,"['nouvelles', '(d’)informations', '(de) nouvelles']","['nouvelle', 'nouvelle', 'news', 'nouveauté', ""l'émission de nouvelles"", ""bulletin d'informations"", 'actualités']",1.0
73,write,"['faire', 'écrire', 'rédiger', 'composer']","['écrire', 'enregistrer', 'prescrire', 'inscrire', 'radier', 'écrit']",0.75
74,approbation,['approbation'],['approbation'],0.5
75,read,"['faire la lecture à', 'être rédigé', 'au lieu de…', 'interpréter', 'voir', 'déchiffrer', 'faire la lecture', 'se lire', 'dire', 'lecture', 'indiquer', 'étudier', 'comprendre', 'lire']","['lire', 'lire', 'dire', 'donner lecture de', 'lire', 'lecture']",0.21428571428571427
76,hear,"['écouter', 'entendre (parler de)', 'apprendre', 'avoir des nouvelles (de)', 'entendre (dire)', 'entendre', 'juger']","['entendre', 'apprendre', 'sonner', 'entendre', 'entendre', 'entendre', 'audible']",0.42857142857142855
77,feel,"['croire', 'estimer', 'toucher', 'avoir l’impression (que)', 'éprouver', 'se sentir', 'produire une sensation', 'causer un sentiment', '(se) sentir', 'tâtonner', 'sentir', 'penser de', 'ressentir', 'atmosphère', 'palper']","['sentir', 'croire', 'palper', 'éprouver', 'être gêné', 'sensation']",0.3
78,be,"['(utilisé dans les fins de phrases interrogatives)', 'faire', '(utilisé au conditionnel pour parler de quelque chose qu’on imagine)', '(utilisé avec le participe présent dans les temps progressifs)', 'être', '(utilisé pour dire à qqn comment se comporter)', 'aller', 'devoir…']","['être', 'survenir', 'se trouver', 'représenter', 'résider', 'aller', 'se rapporter à', 'égale']",0.5
79,right,"['bon/bonne', 'n’est-ce pas ?', 'parfait/-aite', 'droit/droite', 'bien-sûr', 'droit', 'tout de suite', 'tout à fait', 'correctement', 'entendu', 'vrai…', 'bon', 'normal/-ale', 'bien', 'sur- le- champ', 'exact/exacte', 'droite', 'juste', 'exactement', 'approprié', 'à droite']","['droit', 'droite', 'vérité', 'bon droit', 'droit', 'nécessaire', 'qui convient', 'à droite', 'correctement', 'à la fois', 'ça va', 'directement']",0.2857142857142857
80,guru,['gourou'],['gourou'],0.5
81,beginner,['débutant/-ante'],"['commençant', 'débutant', 'niveau initial', 'photographe débutant', 'initial']",2.5
82,collide,"['se heurter', 'entrer en collision', 'heurter']","['se heurter', 'être en conflit', 'donner contre', 'se battre', 'en conflit']",1.0
83,genetically,['génétiquement'],"['génétiquement', 'génétique']",0.5
84,precedent,['précédent'],"['précédent', 'précédent', 'faisant jurisprudence', 'antérieur']",1.5
85,refugee,"['(de) réfugié/-ée', 'réfugié/-ée']","['réfugié', 'réfugié', 'fugitif', 'bezhensky']",1.0
86,secular,"['laïque', 'profane']","['laïque', 'séculaire', 'à long terme', 'laïcité', 'laïc', 'laïcité']",1.25
87,pasta,"['pâtes', 'pâtes (always plural)']","['pâte', 'plats de pâtes']",0.5
88,beaver,['castor'],"['castor', 'castor', 'castor', 'bourreau de travail', 'gypaète', 'de castor']",1.5
89,tiger,"['tigre', 'tigre/tigresse']","['gros chat', 'bête', 'tigrin']",0.75
90,lion,"['lionne', 'lion']","['lion', 'de lion']",0.5
91,pen,"['stylo', 'enclos']","['poignée', 'reisfeder', 'feutre', 'enclos', 'pérou', 'mousse', 'plumier', 'photostyle', 'écrire', 'plume']",2.5
92,coconut,"['noix [feminine] de coco', 'noix de coco']","['coco', 'pulpe de noix de coco', 'de coco']",0.5
93,dynamite,['dynamite'],"['dynamite', 'vérificateur de dynamite', 'de dynamite', 'explosif']",1.0
94,spoon,"['cuiller/cuillère', 'nourrir à la cuillère', 'cuillerée', 'cuillère']","['cuillère', 'devon', ""s'embrasser"", ""écoper d'une cuillère""]",0.625
95,ocean,['océan'],"['océan', ""le fond de l'océan"", 'océanique']",0.5
