ID,Page ID,Local text,English text,Mix 1,Correct 1,Mix 2,Correct 2,Mix 3,Correct 3,Mix 4,Correct 4,Mix 5,Correct 5,Mix 6,Correct 6,Mix 7,Correct 7,Mix 8,Correct 8,Mix 9,Correct 9,Mix 10,Correct 10
"1","94","Санта Клаус настоящий.","Santa Claus is real.","Santa, Santiago","Santa","Claus, Claustrophobia, Claustrophobic, Clause","Claus","is, be, been, are, was, were, will, shall","is","real, reals, realest, reis, realer","real","",".","","","","","","","","","",""
"2","94","Манхэттен дорогой.","Manhattan is expensive.","Manhattan, Manhunt, Manhole, Manhood","Manhattan","is, be, been, are, was, were, will, shall","is","expensive, expensively, expense","expensive","",".","","","","","","","","","","","",""
"3","94","Англия особенная.","England is special.","England, Englishpod, Englishwoman, Englishman, English","England","is, be, been, are, was, were, will, shall","is","special, specials, specialer, specialed, specialest","special","",".","","","","","","","","","","","",""
"4","94","Шотландия красивая.","Scotland is beautiful.","Scotland, Scott, Scot, Scottish, Scotch","Scotland","is, be, been, are, was, were, will, shall","is","beautiful, beautifulest, beautifuls","beautiful","",".","","","","","","","","","","","",""
"5","94","Эмили красивая.","Emily is beautiful.","Emily, Emilies, Emilys","Emily","is, be, been, are, was, were, will, shall","is","beautiful, beautifulest, beautifuls","beautiful","",".","","","","","","","","","","","",""
"6","94","Суп лёгкий.","Soup is easy.","Soup, Soups, Souped, Souping, Souper, Soups'","Soup","is, be, been, are, was, were, will, shall","is","easy, easier, easiest, easy led, easies","easy","",".","","","","","","","","","","","",""
"7","94","Удача полезна.","Luck is useful.","Luck, Lucked, Lucks, Lucking, Luckest","Luck","is, be, been, are, was, were, will, shall","is","useful, usefulness","useful","",".","","","","","","","","","","","",""
"8","94","Машина медленная.","The car is slow.","The, Then, Though","The","car, carer, cars, carring, carred","car","is, be, been, are, was, were, will, shall","is","slow, slowed, slower, slowest, slowing, slows, slown","slow","",".","","","","","","","","","",""
"9","94","Земля красива.","Earth is beautiful.","Earth, Earthing, Earths, Earthed, Earth'd","Earth","is, be, been, are, was, were, will, shall","is","beautiful, beautifulest, beautifuls","beautiful","",".","","","","","","","","","","","",""
"10","94","Где Кэти?","Where's Katie?","Where's, Where, Wheres, Whered, Whereing","Where's","","Katie","","?","","","","","","","","","","","","","",""
"11","94","Как мама?","How's Mum?","How's, How, Hown, Hows, Howed, Howest","How's","Mum, Mums, Mumming, Mums', Mummed","Mum","","?","","","","","","","","","","","","","",""
"12","94","Как Краков?","How's Krakow?","How's, How, Hown, Hows, Howed, Howest","How's","","Krakow","","?","","","","","","","","","","","","","",""
"13","94","Где Джейн?","Where's Jane?","Where's, Where, Wheres, Whered, Whereing","Where's","Jane, Janes, Janes'","Jane","","?","","","","","","","","","","","","","",""
"14","94","Оно как лёд.","It's like ice.","It's, It'll, Its, This","It's","like, liking, likes, liked, likest, liker, licken, likeing","like","ice, icing, ices, iced, iceing, iceta","ice","",".","","","","","","","","","","","",""
"15","94","Она плачет ночью.","She cries at night.","She, Her, Hers","She","cries, cried, cry, crying, crys, cryed, criest, cryling","cries","at, on, in, since, for, ago, before, to","at","night, nights, nighter","night","",".","","","","","","","","","",""
"16","94","Она в опасности.","She's in danger.","She's, She'd, She'll, She're","She's","in, on, at, since, for, ago, before, to","in","danger, dangers, dangered, dangers'","danger","",".","","","","","","","","","","","",""
"17","94","Она работает из дома.","She works from home.","She, Her, Hers","She","works, work, working, wrought, worked, workest","works","from, in, at, on, by, next to, beside, under","from","home, homer, homing, homes, homed, homebed","home","",".","","","","","","","","","",""
"18","94","Она дома.","She is at home.","She, Her, Hers","She","is, be, been, are, was, were, will, shall","is","at, on, in, since, for, ago, before, to","at","home, homer, homing, homes, homed, homebed","home","",".","","","","","","","","","",""
"19","94","Оно начинается в полночь.","It starts at midnight.","It, He, Him, His, Its","It","starts, start, starting, started, startted, starttest, start'd","starts","at, on, in, since, for, ago, before, to","at","midnight, midnights, midnighter","midnight","",".","","","","","","","","","",""
"20","94","Он мечтает о деньгах.","He dreams about money.","He, Him, His, It, Its","He","dreams, dream, dreamt, dreamed, dreaming, dreamest, dreamled","dreams","about, from, of, by, on, in, off, out of","about","money, monetary","money","",".","","","","","","","","","",""
"21","94","Он на телевидении.","He's on television.","He's, He'd, He'll, He're","He's","on, in, at, since, for, ago, before, to","on","television, telecom, televise, telepathy, telepathic, telecommunication, teleport, telegraph","television","",".","","","","","","","","","","","",""
"22","94","Она учится в университете.","She studies at university.","She, Her, Hers","She","studies, studied, study, studying, studier, studys, studid","studies","at, on, in, since, for, ago, before, to","at","university, universities, universitys","university","",".","","","","","","","","","",""
"23","94","Он в школе.","He's at school.","He's, He'd, He'll, He're","He's","at, on, in, since, for, ago, before, to","at","school, schooling, schools, schooled","school","",".","","","","","","","","","","","",""
"24","94","Он путешествует на автобусе.","He travels by bus","He, Him, His, It, Its","He","travels, travel, travelled, travelling, traveled, traveling","travels","by, on, in, at, since, for, ago, before","by","bus, busing, bussing, busses, buses, bussed, bused, buses'","bus","","","","","","","","","","","",""
"25","94","Оно о жизни.","It's about life.","It's, It'll, Its, This","It's","about, from, of, by, on, in, off, out of","about","life, lifer, lives, lifes, lifed, lifeing","life","",".","","","","","","","","","","","",""
"26","94","Оно о любви.","It's about love.","It's, It'll, Its, This","It's","about, from, of, by, on, in, off, out of","about","love, loving, loved, loves, lovest, loveing, love nest","love","",".","","","","","","","","","","","",""
"27","94","Это о бизнесе.","It is about business.","It, He, Him, His, Its","It","is, be, been, are, was, were, will, shall","is","about, from, of, by, on, in, off, out of","about","business, businesswoman, businesslike, businessman","business","",".","","","","","","","","","",""
"28","94","Она влюблена.","She's in love.","She's, She'd, She'll, She're","She's","in, on, at, since, for, ago, before, to","in","love, loving, loved, loves, lovest, loveing, love nest","love","",".","","","","","","","","","","","",""
"29","94","Это для лета.","It's for summer.","It's, It'll, Its, This","It's","for, on, in, at, since, ago, before, to","for","summer, summers, summered, summering, summer'd","summer","",".","","","","","","","","","","","",""
"30","94","Она мечтает о любви.","She dreams of love.","She, Her, Hers","She","dreams, dream, dreamt, dreamed, dreaming, dreamest, dreamled","dreams","of, from, by, on, in, off, out of, at","of","love, loving, loved, loves, lovest, loveing, love nest","love","",".","","","","","","","","","",""
"31","94","Это о любви.","It's about love.","It's, It'll, Its, This","It's","about, from, of, by, on, in, off, out of","about","love, loving, loved, loves, lovest, loveing, love nest","love","",".","","","","","","","","","","","",""
"32","94","Это о правде.","It's about truth.","It's, It'll, Its, This","It's","about, from, of, by, on, in, off, out of","about","truth, truths, truthed","truth","",".","","","","","","","","","","","",""
"33","94","Он на борту!","He is on board!","He, Him, His, It, Its","He","is, be, been, are, was, were, will, shall","is","on, in, at, since, for, ago, before, to","on","board, boarding, boards, boarded, boardin'","board","","!","","","","","","","","","",""
"34","94","Она в больнице.","She's in hospital.","She's, She'd, She'll, She're","She's","in, on, at, since, for, ago, before, to","in","hospital, hospitable, hospitality","hospital","",".","","","","","","","","","","","",""
"35","94","Он под арестом!","He's under arrest!","He's, He'd, He'll, He're","He's","under, in, at, on, by, next to, beside, below","under","arrest, arresting, arrested, arrests, arrests'","arrest","","!","","","","","","","","","","","",""
"36","94","Она поёт о доме.","She sings of home.","She, Her, Hers","She","sings, singin, singing, singly, singsong, singularity, singularly, singe","sings","of, from, by, on, in, off, out of, at","of","home, homer, homing, homes, homed, homebed","home","",".","","","","","","","","","",""
"37","94","Это о работе.","It's about work.","It's, It'll, Its, This","It's","about, from, of, by, on, in, off, out of","about","work, working, works, wrought, worked, workest","work","",".","","","","","","","","","","","",""
"38","94","Он в тюрьме.","He's in prison.","He's, He'd, He'll, He're","He's","in, on, at, since, for, ago, before, to","in","prison, prisons, prisoned, prisoning","prison","",".","","","","","","","","","","","",""
"39","94","Он в отпуске.","He's on vacation.","He's, He'd, He'll, He're","He's","on, in, at, since, for, ago, before, to","on","vacation, vacations, vacationed, vacationing, vacations', vacationin'","vacation","",".","","","","","","","","","","","",""
"40","94","Он в опасности.","He's in danger.","He's, He'd, He'll, He're","He's","in, on, at, since, for, ago, before, to","in","danger, dangers, dangered, dangers'","danger","",".","","","","","","","","","","","",""
"41","94","Он в отпуске.","He's on holiday.","He's, He'd, He'll, He're","He's","on, in, at, since, for, ago, before, to","on","holiday, holidays, holidaying, holidayed, holidaies","holiday","",".","","","","","","","","","","","",""
"42","94","Добро пожаловать в Бангкок!","Welcome to Bangkok!","Welcome, Welcoming, Welcomed, Welcomes, Welcomest, Welcomes'","Welcome","to, on, in, at, since, for, ago, before","to","Bangkok, Bangladesh, Bang","Bangkok","","!","","","","","","","","","","","",""
"43","94","Добро пожаловать в Каракас.","Welcome to Caracas.","Welcome, Welcoming, Welcomed, Welcomes, Welcomest, Welcomes'","Welcome","to, on, in, at, since, for, ago, before","to","Caracas, Cara, Caramel, Caravan","Caracas","",".","","","","","","","","","","","",""
"44","94","Поезжайте к бабушке.","Go to Granny.","Go, Going, Gone, Went, Goes, Gos, Goed, Gota","Go","to, on, in, at, since, for, ago, before","to","Granny, Grannies, Grannys, Grannied, Grannies'","Granny","",".","","","","","","","","","","","",""
"45","94","Добро пожаловать в Будапешт.","Welcome to Budapest.","Welcome, Welcoming, Welcomed, Welcomes, Welcomest, Welcomes'","Welcome","to, on, in, at, since, for, ago, before","to","Budapest","Budapest","",".","","","","","","","","","","","",""
"46","94","Поезжай в Пенсильванию.","Go to Pennsylvania.","Go, Going, Gone, Went, Goes, Gos, Goed, Gota","Go","to, on, in, at, since, for, ago, before","to","Pennsylvania, Penn, Pennant, Penniless, Penny","Pennsylvania","",".","","","","","","","","","","","",""
"47","94","Добро пожаловать на Аляску.","Welcome to Alaska.","Welcome, Welcoming, Welcomed, Welcomes, Welcomest, Welcomes'","Welcome","to, on, in, at, since, for, ago, before","to","Alaska, Alaskan, Alas","Alaska","",".","","","","","","","","","","","",""
"48","94","Добро пожаловать в Италию.","Welcome to Italy.","Welcome, Welcoming, Welcomed, Welcomes, Welcomest, Welcomes'","Welcome","to, on, in, at, since, for, ago, before","to","Italy, Italics, Italian","Italy","",".","","","","","","","","","","","",""
"49","94","Где Шекспир?","Where's Shakespeare?","Where's, Where, Wheres, Whered, Whereing","Where's","Shakespeare, Shaken, Shakes, Shaker, Shake","Shakespeare","","?","","","","","","","","","","","","","",""
"50","94","Как Стэнфорд?","How's Stanford?","How's, How, Hown, Hows, Howed, Howest","How's","Stanford, Stan, Stands, Standin, Standardization, Stanza, Standby, Standing","Stanford","","?","","","","","","","","","","","","","",""
"51","94","Это выглядит, как масло.","It looks like butter.","It, He, Him, His, Its","It","looks, look, looking, looked, lookest","looks","like, liking, likes, liked, likest, liker, licken, likeing","like","butter, buttered, buttering, butters","butter","",".","","","","","","","","","",""
"52","94","Токио другой.","Tokyo is different.","Tokyo","Tokyo","is, be, been, are, was, were, will, shall","is","different, differentiation, differential, differentiate, differently","different","",".","","","","","","","","","","","",""
"53","94","Еда важна.","Food is important.","Food, Foods, Fooding, Foodest","Food","is, be, been, are, was, were, will, shall","is","important, importants, importantest","important","",".","","","","","","","","","","","",""
"54","94","Понедельник свободен.","Monday is free.","Monday, Mondays, Mondays'","Monday","is, be, been, are, was, were, will, shall","is","free, freed, frees, freer, freeing, freest, freeger","free","",".","","","","","","","","","","","",""
"55","94","Воздух горячий.","Air is hot.","Air, Airing, Airs, Aired, Air bed, Airi, Air'd, Airin'","Air","is, be, been, are, was, were, will, shall","is","hot, hotter, hottest, hots, hotted, hoting, hotting, hoted","hot","",".","","","","","","","","","","","",""
"56","94","Америка большая.","America is big.","America, Americas, Americae","America","is, be, been, are, was, were, will, shall","is","big, biggest, bigger, bigs, bigging, bigest","big","",".","","","","","","","","","","","",""
"57","94","Она работает дома.","She works at home.","She, Her, Hers","She","works, work, working, wrought, worked, workest","works","at, on, in, since, for, ago, before, to","at","home, homer, homing, homes, homed, homebed","home","",".","","","","","","","","","",""
"58","94","Он в постели.","He is in bed.","He, Him, His, It, Its","He","is, be, been, are, was, were, will, shall","is","in, on, at, since, for, ago, before, to","in","bed, bedding, beds, bedded, beder, bednest","bed","",".","","","","","","","","","",""
"59","94","Он просит денег.","He asks for money.","He, Him, His, It, Its","He","asks, ask, asking, asked, askest, asks'","asks","for, on, in, at, since, ago, before, to","for","money, monetary","money","",".","","","","","","","","","",""
"60","94","Он просит о помощи.","He asks for help.","He, Him, His, It, Its","He","asks, ask, asking, asked, askest, asks'","asks","for, on, in, at, since, ago, before, to","for","help, helping, helped, helps, helpped","help","",".","","","","","","","","","",""
"61","94","Он верит в любовь.","He believes in love.","He, Him, His, It, Its","He","believes, believe, believed, believing, believest, believeing","believes","in, on, at, since, for, ago, before, to","in","love, loving, loved, loves, lovest, loveing, love nest","love","",".","","","","","","","","","",""
"62","94","Москва красивая.","Moscow is beautiful.","Moscow, Moscowed, Moscows","Moscow","is, be, been, are, was, were, will, shall","is","beautiful, beautifulest, beautifuls","beautiful","",".","","","","","","","","","","","",""
"63","94","Любовь чудесна.","Love is wonderful.","Love, Loving, Loved, Loves, Lovest, Loveing, Love nest","Love","is, be, been, are, was, were, will, shall","is","wonderful, wonderfulest, wonderfuls","wonderful","",".","","","","","","","","","","","",""
"64","94","Бостон дорогой.","Boston is expensive.","Boston, Bostons, Bostons'","Boston","is, be, been, are, was, were, will, shall","is","expensive, expensively, expense","expensive","",".","","","","","","","","","","","",""
"65","94","Алисия - испанка.","Alicia is Spanish.","Alicia","Alicia","is, be, been, are, was, were, will, shall","is","Spanish, Spaniel, Spaniard","Spanish","",".","","","","","","","","","","","",""
"66","94","Папа сердит.","Dad is angry.","Dad, Dads","Dad","is, be, been, are, was, were, will, shall","is","angry, angrier, angriest, angrying, angrys, angries","angry","",".","","","","","","","","","","","",""
"67","94","Мы добрались туда на поезде.","We got there by train.","We, Our, Us, Ours","We","got, get, gotten, getting, gets, gettest, geted, gets'","got","there, theres, thered, thering","there","by, on, in, at, since, for, ago, before","by","train, trained, training, trains, trains'","train","",".","","","","","","","",""
"68","94","Мы добрались туда на автобусе.","We got there by bus.","We, Our, Us, Ours","We","got, get, gotten, getting, gets, gettest, geted, gets'","got","there, theres, thered, thering","there","by, on, in, at, since, for, ago, before","by","bus, busing, bussing, busses, buses, bussed, bused, buses'","bus","",".","","","","","","","",""
"69","94","Я не был дома.","I was not at home.","I, me, my, mine","I","was, is, be, been, are, were, will, shall","was","not, no, none, neither, nore, nope","not","at, on, in, since, for, ago, before, to","at","home, homer, homing, homes, homed, homebed","home","",".","","","","","","","",""
"70","94","Вы не были на ужине.","You weren't at dinner.","You, Your, Yours","You","weren't, aren't, isn't, wasn't","weren't","at, on, in, since, for, ago, before, to","at","dinner, dinners, dinners'","dinner","",".","","","","","","","","","",""
"71","94","Она была уже в кровати.","She was already in bed.","She, Her, Hers","She","was, is, be, been, are, were, will, shall","was","already, else, yet, too, either, neither, or","already","in, on, at, since, for, ago, before, to","in","bed, bedding, beds, bedded, beder, bednest","bed","",".","","","","","","","",""
"72","94","Я не была влюблена.","I was not in love.","I, me, my, mine","I","was, is, be, been, are, were, will, shall","was","not, no, none, neither, nore, nope","not","in, on, at, since, for, ago, before, to","in","love, loving, loved, loves, lovest, loveing, love nest","love","",".","","","","","","","",""
"73","94","Он ездил туда на автобусе.","He went there by bus.","He, Him, His, It, Its","He","went, go, going, gone, goes, gos, goed, gota","went","there, theres, thered, thering","there","by, on, in, at, since, for, ago, before","by","bus, busing, bussing, busses, buses, bussed, bused, buses'","bus","",".","","","","","","","",""
"74","94","Они не были дома.","They weren't at home.","They, Them, Their, Theirs","They","weren't, aren't, isn't, wasn't","weren't","at, on, in, since, for, ago, before, to","at","home, homer, homing, homes, homed, homebed","home","",".","","","","","","","","","",""
"75","94","Она была всё ещё на работе.","She was still at work.","She, Her, Hers","She","was, is, be, been, are, were, will, shall","was","still, stilled, stiller, stilling, stills, stillest","still","at, on, in, since, for, ago, before, to","at","work, working, works, wrought, worked, workest","work","",".","","","","","","","",""
"76","94","Он был далеко от дома.","He was far from home.","He, Him, His, It, Its","He","was, is, be, been, are, were, will, shall","was","far, farther, farthest, further, furthest, farer, farring, fars","far","from, in, at, on, by, next to, beside, under","from","home, homer, homing, homes, homed, homebed","home","",".","","","","","","","",""
"77","94","Она не была в опасности.","She wasn't in danger.","She, Her, Hers","She","wasn't, aren't, isn't, weren't","wasn't","in, on, at, since, for, ago, before, to","in","danger, dangers, dangered, dangers'","danger","",".","","","","","","","","","",""
"78","94","Она пришла сюда днем.","She came here in the afternoon.","She, Her, Hers","She","came, come, coming, comes, comest, comeing","came","here, heres, hering, hered","here","in, on, at, since, for, ago, before, to","in","the, then, though","the","afternoon, afternoons, afternoons'","afternoon","",".","","","","","",""
"79","94","Я не был в отпуске.","I wasn't on vacation.","I, me, my, mine","I","wasn't, aren't, isn't, weren't","wasn't","on, in, at, since, for, ago, before, to","on","vacation, vacations, vacationed, vacationing, vacations', vacationin'","vacation","",".","","","","","","","","","",""
"80","94","Я не был в опасности.","I wasn't in danger.","I, me, my, mine","I","wasn't, aren't, isn't, weren't","wasn't","in, on, at, since, for, ago, before, to","in","danger, dangers, dangered, dangers'","danger","",".","","","","","","","","","",""
"81","94","Я была одна дома.","I was alone at home.","I, me, my, mine","I","was, is, be, been, are, were, will, shall","was","alone, alongside, along","alone","at, on, in, since, for, ago, before, to","at","home, homer, homing, homes, homed, homebed","home","",".","","","","","","","",""
"82","94","Это было сразу после ужина.","It was right after dinner.","It, He, Him, His, Its","It","was, is, be, been, are, were, will, shall","was","right, rights, righting, righted, righter, rightest","right","after, afters, aftera","after","dinner, dinners, dinners'","dinner","",".","","","","","","","",""
"83","94","Я приехал поздно ночью.","I arrived late at night.","I, me, my, mine","I","arrived, arrive, arrives, arriving, arriven","arrived","late, last, later, latest, latter, lates, lated, lating","late","at, on, in, since, for, ago, before, to","at","night, nights, nighter","night","",".","","","","","","","",""
"84","94","Я приехал как раз вовремя.","I arrived just in time","I, me, my, mine","I","arrived, arrive, arrives, arriving, arriven","arrived","just, juster, justest, justs, justing, justed","just","in, on, at, since, for, ago, before, to","in","time, timer, timing, times, timed, timeger, timest, timeing","time","","","","","","","","","",""
"85","94","Она не была на завтраке.","She wasn't at breakfast.","She, Her, Hers","She","wasn't, aren't, isn't, weren't","wasn't","at, on, in, since, for, ago, before, to","at","breakfast, breakfasted, breakfasting, breakfasts, breakfaster","breakfast","",".","","","","","","","","","",""
"86","94","Вы не были дома.","You weren't at home.","You, Your, Yours","You","weren't, aren't, isn't, wasn't","weren't","at, on, in, since, for, ago, before, to","at","home, homer, homing, homes, homed, homebed","home","",".","","","","","","","","","",""
"87","94","Он не был под арестом.","He was not under arrest.","He, Him, His, It, Its","He","was, is, be, been, are, were, will, shall","was","not, no, none, neither, nore, nope","not","under, in, at, on, by, next to, beside, below","under","arrest, arresting, arrested, arrests, arrests'","arrest","",".","","","","","","","",""
"88","94","Это было сразу после завтрака.","It was just after breakfast.","It, He, Him, His, Its","It","was, is, be, been, are, were, will, shall","was","just, juster, justest, justs, justing, justed","just","after, afters, aftera","after","breakfast, breakfasted, breakfasting, breakfasts, breakfaster","breakfast","",".","","","","","","","",""
"89","94","Он вернулся из школы.","He came back from school.","He, Him, His, It, Its","He","came, come, coming, comes, comest, comeing","came","back, backed, backer, backing, backs","back","from, in, at, on, by, next to, beside, under","from","school, schooling, schools, schooled","school","",".","","","","","","","",""
"90","94","Вы не были в классе.","You weren't in class.","You, Your, Yours","You","weren't, aren't, isn't, wasn't","weren't","in, on, at, since, for, ago, before, to","in","class, classes, classed, classing, classer","class","",".","","","","","","","","","",""
"91","94","Я был всё ещё в опасности.","I was still in danger.","I, me, my, mine","I","was, is, be, been, are, were, will, shall","was","still, stilled, stiller, stilling, stills, stillest","still","in, on, at, since, for, ago, before, to","in","danger, dangers, dangered, dangers'","danger","",".","","","","","","","",""
"92","94","Он был здесь на ужине.","He was here at dinner.","He, Him, His, It, Its","He","was, is, be, been, are, were, will, shall","was","here, heres, hering, hered","here","at, on, in, since, for, ago, before, to","at","dinner, dinners, dinners'","dinner","",".","","","","","","","",""
"93","94","Я была всё ещё в кровати!","I was still in bed!","I, me, my, mine","I","was, is, be, been, are, were, will, shall","was","still, stilled, stiller, stilling, stills, stillest","still","in, on, at, since, for, ago, before, to","in","bed, bedding, beds, bedded, beder, bednest","bed","","!","","","","","","","",""
"94","94","Ты не был в школе.","You weren't at school.","You, Your, Yours","You","weren't, aren't, isn't, wasn't","weren't","at, on, in, since, for, ago, before, to","at","school, schooling, schools, schooled","school","",".","","","","","","","","","",""
"95","94","Он уехал поздно ночью.","He left late at night.","He, Him, His, It, Its","He","left, leave, leaves, leaving, leavest, loven, leav'd","left","late, last, later, latest, latter, lates, lated, lating","late","at, on, in, since, for, ago, before, to","at","night, nights, nighter","night","",".","","","","","","","",""
"96","94","Мы приехали сюда ночью.","We came here at night.","We, Our, Us, Ours","We","came, come, coming, comes, comest, comeing","came","here, heres, hering, hered","here","at, on, in, since, for, ago, before, to","at","night, nights, nighter","night","",".","","","","","","","",""
"97","94","Я не был на работе.","I wasn't at work.","I, me, my, mine","I","wasn't, aren't, isn't, weren't","wasn't","at, on, in, since, for, ago, before, to","at","work, working, works, wrought, worked, workest","work","",".","","","","","","","","","",""
"98","94","Я приехал туда в полдень.","I came there at noon.","I, me, my, mine","I","came, come, coming, comes, comest, comeing","came","there, theres, thered, thering","there","at, on, in, since, for, ago, before, to","at","noon, nooning, noons, noa, nooned","noon","",".","","","","","","","",""
"99","94","Я спала дома.","I was asleep at home.","I, me, my, mine","I","was, is, be, been, are, were, will, shall","was","asleep","asleep","at, on, in, since, for, ago, before, to","at","home, homer, homing, homes, homed, homebed","home","",".","","","","","","","",""
"100","94","Он упал обратно в кровать.","He fell back in bed.","He, Him, His, It, Its","He","fell, feller, felling, felled, fells, follen, fellling","fell","back, backed, backer, backing, backs","back","in, on, at, since, for, ago, before, to","in","bed, bedding, beds, bedded, beder, bednest","bed","",".","","","","","","","",""
"101","94","Это было сразу после полуночи.","It was just after midnight.","It, He, Him, His, Its","It","was, is, be, been, are, were, will, shall","was","just, juster, justest, justs, justing, justed","just","after, afters, aftera","after","midnight, midnights, midnighter","midnight","",".","","","","","","","",""
"102","94","Она не была дома.","She was not at home.","She, Her, Hers","She","was, is, be, been, are, were, will, shall","was","not, no, none, neither, nore, nope","not","at, on, in, since, for, ago, before, to","at","home, homer, homing, homes, homed, homebed","home","",".","","","","","","","",""
"103","94","Он дома.","He is at home.","He, Him, His, It, Its","He","is, be, been, are, was, were, will, shall","is","at, on, in, since, for, ago, before, to","at","home, homer, homing, homes, homed, homebed","home","",".","","","","","","","","","",""
"104","94","Он дома.","He is at home","He, Him, His, It, Its","He","is, be, been, are, was, were, will, shall","is","at, on, in, since, for, ago, before, to","at","home, homer, homing, homes, homed, homebed","home","","","","","","","","","","","",""
"105","94","Она в тюрьме.","She's in prison.","She's, She'd, She'll, She're","She's","in, on, at, since, for, ago, before, to","in","prison, prisons, prisoned, prisoning","prison","",".","","","","","","","","","","","",""
"106","94","Он в больнице.","He's in hospital.","He's, He'd, He'll, He're","He's","in, on, at, since, for, ago, before, to","in","hospital, hospitable, hospitality","hospital","",".","","","","","","","","","","","",""
"107","94","Это пахнет, как кофе","It smells like coffee.","It, He, Him, His, Its","It","smells, smell, smelt, smelling, smelled, smellest, smells'","smells","like, liking, likes, liked, likest, liker, licken, likeing","like","coffee, coffees, coffees'","coffee","",".","","","","","","","","","",""
"108","94","Он из Индии.","He's from lndia.","He's, He'd, He'll, He're","He's","from, in, at, on, by, next to, beside, under","from","","lndia","",".","","","","","","","","","","","",""
"109","94","Он бегает для удовольствия.","He runs for fun.","He, Him, His, It, Its","He","runs, ran, run, runner, running, runned, runer, runnest","runs","for, on, in, at, since, ago, before, to","for","fun, funs, funnest, funning, funner, funned, funer, funs'","fun","",".","","","","","","","","","",""
"110","94","Она в опасности!","She's in danger!","She's, She'd, She'll, She're","She's","in, on, at, since, for, ago, before, to","in","danger, dangers, dangered, dangers'","danger","","!","","","","","","","","","","","",""
"111","94","Это для сегодняшнего вечера.","It's for tonight.","It's, It'll, Its, This","It's","for, on, in, at, since, ago, before, to","for","tonight, tonights, tonights'","tonight","",".","","","","","","","","","","","",""
"112","94","Время деньги.","Time is money.","Time, Timer, Timing, Times, Timed, Timeger, Timest, Timeing","Time","is, be, been, are, was, were, will, shall","is","money, monetary","money","",".","","","","","","","","","","","",""
"113","94","Собака маленькая.","The dog is small.","The, Then, Though","The","dog, dogged, dogs, dogging, dogbed","dog","is, be, been, are, was, were, will, shall","is","small, smalls, smaller, smallest, small ta, smalls'","small","",".","","","","","","","","","",""
"114","94","Искусство прекрасно.","Art is wonderful.","Art, Arter, Arts, Artest, Arted, Arting","Art","is, be, been, are, was, were, will, shall","is","wonderful, wonderfulest, wonderfuls","wonderful","",".","","","","","","","","","","","",""
"115","94","Жизнь прекрасна!","Life is wonderful!","Life, Lifer, Lives, Lifes, Lifed, Lifeing","Life","is, be, been, are, was, were, will, shall","is","wonderful, wonderfulest, wonderfuls","wonderful","","!","","","","","","","","","","","",""
"116","94","Аляска красивая.","Alaska is beautiful.","Alaska, Alaskan, Alas","Alaska","is, be, been, are, was, were, will, shall","is","beautiful, beautifulest, beautifuls","beautiful","",".","","","","","","","","","","","",""
"117","94","Кофе пахнет приятно.","Coffee smells good.","Coffee, Coffees, Coffees'","Coffee","smells, smell, smelt, smelling, smelled, smellest, smells'","smells","good, best, better, goods, gooding, goodest","good","",".","","","","","","","","","","","",""
"118","94","Гавайи чудесны.","Hawaii is wonderful.","Hawaii, Hawat, Hawaiian","Hawaii","is, be, been, are, was, were, will, shall","is","wonderful, wonderfulest, wonderfuls","wonderful","",".","","","","","","","","","","","",""
"119","94","Сыр хороший.","Cheese is good.","Cheese, Cheeses, Cheesed, Cheesing, Cheeses'","Cheese","is, be, been, are, was, were, will, shall","is","good, best, better, goods, gooding, goodest","good","",".","","","","","","","","","","","",""
"120","94","Жизнь сложная.","Life is difficult.","Life, Lifer, Lives, Lifes, Lifed, Lifeing","Life","is, be, been, are, was, were, will, shall","is","difficult, difficultest, difficults","difficult","",".","","","","","","","","","","","",""
"121","94","Английский язык трудный.","English is difficult.","English, Englishes, Englished, Englishs, Englishing","English","is, be, been, are, was, were, will, shall","is","difficult, difficultest, difficults","difficult","",".","","","","","","","","","","","",""
"122","94","Французский был его вторым языком.","French was his second language.","French, Frencher, Frenching, Frenches, Frenched","French","was, is, be, been, are, were, will, shall","was","his, he, him, it, its","his","second, two, twice, couple, duet","second","language, languages, languaging","language","",".","","","","","","","",""
"123","94","Стив стал её хорошим другом.","Steve became her good friend.","Steve, Stevens","Steve","became, become, becoming, becomes","became","her, she, hers","her","good, best, better, goods, gooding, goodest","good","friend, friends, friending, friended","friend","",".","","","","","","","",""
"124","94","Он был из Норвегии.","He was from Norway.","He, Him, His, It, Its","He","was, is, be, been, are, were, will, shall","was","from, in, at, on, by, next to, beside, under","from","Norway, Norwegian","Norway","",".","","","","","","","","","",""
"125","94","Спрайт был ее любимым напитком.","Sprite was her favourite drink.","Sprite, Sprites, Sprites'","Sprite","was, is, be, been, are, were, will, shall","was","her, she, hers","her","favourite, favourites, favourites'","favourite","drink, drank, drunk, drinking, drinks, drinked, drinkest","drink","",".","","","","","","","",""
